name_std,symbol_std,ico_successful,softcap_usd,amount raised_usd
dobetacceptbet,DCA,1,,150000.0
saturnblackproject,XSAT,1,,3000000.0
ethearnal,ERT,1,,218482.0
fortknoxster,FKX,1,,15000000.0
kindadssystem,KIND,1,,20000000.0
amon,AMN,1,3000000.0,1332600.0
jointventures,JOINT,1,,2000000.0
coinfi,COF,1,,15000000.0
cappasity,CAPP,1,,2301451.0
dxchain,DX,1,,3052468.0
kickcity,KCY,1,,1000000.0
squeezer,SQR,1,,9000000.0
pledgecamp,PLG,1,,700000.0
midex,MDX,1,,22000000.0
refereum,RFR,1,,40000000.0
pungo,PGT,1,,3000000.0
beat,BEAT,1,,3670678.0
pdata,PDATA,1,500000.0,232250.0
proximax,XPX,1,,25000000.0
starflow,STAR,1,16000000.0,261206.0
bravesoundtoken,BRST,1,1000000000.0,1920000.0
debitumnetwork,DEB,1,,16574400.0
binax,BIN,1,,6400000.0
inkprotocol,XNK,1,,15000000.0
carvdb,CAR,1,2837544.96,941100.0
ida,IDA,1,,58000000.0
electrifyasia,ELEC,1,,30000000.0
bigbomeco,BBO,1,,2000000.0
multivac,MTV,1,,16200000.0
osa,OSA,1,,40000000.0
tracetoio,T2T,1,,12511800.0
zper,ZPR,1,,23211600.0
stips,STIPS,1,4400000.0,1400000.0
xtrd,XTRD,1,,26000000.0
graftblockchain,GRFT,1,,3000000.0
essentia,ESS,1,,25500000.0
eventoken,EST,1,1500000.0,449999.0
eraswaptoken,EST,1,,218304.0
goldbitscoin,GBC,1,,50000000.0
digipharm,DPH,1,,1521804.0
atfsproject,ATFS,1,6024000.0,1519106.0
viceindustrytoken,VIT,1,,14505305.0
intervalue,INVE,1,,20342000.0
xyonetwork,XYO,1,,11951000.0
hybridblock,HYB,1,,47830000.0
gamblica,GMBC,1,1927680.0,1371565.0
playgame,PXG,1,,7700000.0
foodnation,FOOD,1,1200000.0,150000.0
ziktalk,ZIK,1,,350000.0
bitguild,PLAT,1,,2147182.0
mvlchain,MVL,1,1500000000.0,3000000.0
appics,XAP,1,7500000.0,4202372.0
globalcarservice,FTI,1,,103801.0
moonlite,MNL,1,,9100000.0
babb,BAX,1,,20000000.0
knowledge,KNW,1,,5000000.0
lendroid,LST,1,,4045650.0
cardstack,CARD,1,,35000000.0
boosto,BST,1,4819200.0,1848908.0
bitstars,BST,1,,250000.0
betrium,BTRM,1,2409600.0,1482000.0
dcc,DCC,1,,8205382.0
olxa,OLXA,1,1000000.0,141200.0
fiii,Fiii,1,15000000.0,10708813.0
cointorox,OROX,1,,1141595.0
dav,DAV,1,,18559653.0
onzcoin,ONZ,1,4691950.0,1533060.0
enkidu,ENK,1,5000000.0,373000.0
gem4memarketspace,GMC,1,,3000000.0
contentsprotocol,CPT,1,,798000.0
adenium,ADE,1,,1924809.0
ipsharingexchange,IPSX,1,,8015720.0
typerium,TYPE,1,4500000.0,500000.0
mangostartups,MNG,1,,300000.0
xmoneta,XMN,1,240960.0,200000.0
tokeneo,TEO,1,3000000.0,505723.0
crypton,IPT,1,4000000.0,3750450.0
welltrado,WTL,1,,2750000.0
foresting,PTON,1,43372800.0,22734000.0
beveragecash,BC,1,722880.0,284417.0
blocklancer,LNC,1,,300000.0
diwtoken,DIW,1,,913551.0
natmin,NAT,1,,9485000.0
pibble,PIB,1,,21299632.0
wawllet,WIN,1,,55000000.0
opensourceuniversity,EDU,1,,500000.0
playbets,PLT,1,1000000.0,240893.0
incx,INCX,1,,4262280.0
incx,INCX,1,,4262280.0
cmc,CMC,1,,443000.0
alphanu,ANU,1,,500000.0
leadcoin,LDC,1,,50000000.0
dragonglass,DGS,1,,1000000.0
gamelife,GME,1,240960.0,115616.0
lunesplatform,LNS,1,10920000.0,2300799.0
joyso,JOY,1,,3818880.0
sparkster,SPARK,1,,5700000.0
crowdcoinage,CCOS,1,,8915000.0
thor,THOR,1,,2010000.0
plair,PLA,1,,22000000.0
remiit,REMI,1,1800000000.0,2273000.0
dacc,DACC,1,9638400.0,4746941.0
bidooh,DOOH,1,5000000.0,3245118.0
cache,CHE,1,,500000.0
bunnytoken,BUNNY,1,,8488950.0
redcab,REDC,1,,2877240.0
shping,SHPING,1,,6631311.0
etherty,ETY,1,,5300000.0
cbnt,CBNT,1,500000000.0,2000000.0
gexan,GEX,1,,2055970.0
kwhcoin,KWH,1,,366859.0
blok,BLO,1,,550000.0
coinolix,CLX,1,7228800.0,1372000.0
icechain,ICHX,1,,2440000.0
cryptodime,CDM,1,,9000000.0
innovativebioresearch,INNBC,1,1000000.0,500000.0
htfx,HTF,1,282000.0,223869.0
smoke,SMOKE,1,,250000.0
ilink2music,ELINK,1,3500000.0,1006359.0
pinnaclebrilliance,BRIL,1,,2000000.0
clickgem,CGM,1,,12240000.0
graphgrailai,GAI,1,2000000.0,1947387.0
thaiclubcoin,THAI,1,,738810.0
bricbit,BRICBIT,1,,1050000.0
auxledger,XAL,1,,2140000.0
tesoro,ORO,1,,5000000.0
gath3r,GTH,1,,5240017.0
globitex,,1,,12500000.0
akropolis,AKT,1,,12600000.0
mevu,MVU,1,2000000.0,380000.0
coinseason,CSZ,1,,1256687.0
danksignals,DANK,1,,3428658.0
pinmo,PINMO,1,7228800.0,3881160.0
qredit,QRT,1,,647314.0
wizzleinfinity,WZI,1,,921179.0
mavro,MVR,1,4819200.0,1460182.0
icoheadstart,MOAT,1,,11710261.0
bitsong,BTSG,1,1927680.0,380000.0
ysign,YSN,1,2000000.0,680000.0
kakushin,KKN,1,4000000.0,313018.0
iam,IAM,1,,2300000.0
ozex,OZEX,1,,4681990.0
vestopia,VTP,1,,5401552.0
invoxfinance,INVOX,1,,7110000.0
hoardwallet,HOARD,1,2409600.0,1116000.0
gaxcoin,GAX,1,2500000.0,2400000.0
qurrex,Qurrex,1,,6260000.0
vantagetoken,XVT,1,,14726250.0
mtk,MTK,1,,15000000.0
jibbit,JIB,1,1000000.0,920000.0
vecap,VC,1,24000000.0,4721297.0
skynavpro,SNP,1,,9000000.0
fixynetwork,FIXY,1,963840.0,480350.0
qi,QI,1,,2497966.0
gre,RISK,1,7050010.5,3858500.0
dapcash,DAPG,0,9638.4,13008.0
nodvix,NDVX,1,240960.0,150040.0
imaero,IAM,1,5700000.0,172160.0
honeybee,HNBEE,1,,174177.0
efir,QZ,1,602400.0,317668.0
aliencloud,ALS,1,,631331.0
mdltalenthub,MDL,1,8200000.0,2464880.0
