,count,mean,std,min,25%,50%,75%,max
total_tokens,1581.0,8292377656.801031,251887801107.2555,0.0,0.0,3879451.0,200000000.0,10000000000000.0
ico_score,2938.0,6.269843430905378,1.5301563059792347,2.3,5.2,6.4,7.3,10.0
start_year,4290.0,2018.5205128205127,1.5673795593585296,2016.0,2018.0,2018.0,2018.0,2025.0
start_qtr,4290.0,2.3911421911421913,1.0938330919856027,1.0,1.0,2.0,3.0,4.0
soft_cap,3714.0,13.987837322131078,3.7290554257738426,0.0,13.122365377402328,14.604404546009576,15.607270193858982,27.302517048957903
hard_cap,4028.0,16.006834559288837,2.781324573103967,0.0,15.180708011760268,16.52356082573315,17.405934499898393,29.933606208922694
token_price,4122.0,0.3532524545455281,1.013892497192928,0.0,0.004987541511039,0.06910772692231505,0.32425426768888665,16.341239282272525
tokens_for_sale,3931.0,18.994445139709086,3.0243904198898024,0.0,17.50439003707821,19.04125723705382,20.36659089443625,44.66540749876102
min_purchase,3245.0,2.228810255660156,3.155553966769643,0.0,0.0,0.6931471805599453,3.9318256327243257,23.025850930040452
max_purchase,2941.0,4.36031317540686,6.357380611286715,0.0,0.0,0.6931471805599453,9.210440366976515,32.23619130191664
cap_ratio_soft_over_hard,3546.0,125.93133761840572,3591.3906268890237,0.0,0.06368471953578334,0.18377192982456136,0.5,200000.0
ticket_minmax_ratio,1910.0,1047.098034252557,38228.42229749325,0.0,0.0004,0.2,1.0,1666667.0
price_to_softcap_ratio,3406.0,4.590890887028853,267.7304074352636,0.0,1.6696428571428571e-09,2.5e-08,2e-07,15625.0
sale_vs_capacity_ratio,3703.0,53672952396.92241,2650629363223.946,0.0,0.10731407682968505,1.0,2.2009446666666665,156250000000000.0
