,coin_ticker,received_money,sold_coins,role_of_token,category,goal,total_tokens,interest,fundraising_goal,start_end_date_coin_sell,ico_token_price,received_money,end_date,token_type,available_for_token_sale,min_max_personal_cap,whitelist,accepts,token_issue,cant_participate
36,Radiant Capital,Pending ,null,Utility,Market,Pending,"1,000,000,000",Not Rated," 15,000,000 Token ",31 Mar – 10 May,null,Pending ,Ended: 10 May 2023 ,BEP-20,null,null,null,null,null,null
37,Karate Combat,"$18,000,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,Market & Returns,null,"$18,000,000 ",Ended: 8 May 2023 ,null,null,null,null,null,null,null
38,LitLab Games,"$2,065,000 ","$2,070,000 (100%) ",Utility,Gaming,"$2,070,000 ",null,Not Rated,null,Market & Returns,null,"$2,065,000 ",Ended: 8 May 2023 ,null,null,null,null,null,null,null
39,SUI ,"$52,000,000 ",null,Utility,Platform,Not Set,null,"
Very High ",null,Market & Returns,null,"$52,000,000 ",Ended: 3 May 2023 ,null,null,null,null,null,null,null
40,Coinzix,"$2,240,000 ","$2,240,000 (100%) ",Utility,Exchange,"$2,240,000 ",null,Not Rated,null,Market & Returns,null,"$2,240,000 ",Ended: 2 May 2023 ,null,null,null,null,null,null,null
41,Republic Note,"$49,000,000 613% ",null,"335 Madison Avenue, Suite 7E, New York, NY 10017",Investment,Not Set,null,"
High ",null,Market & Returns,null,"$49,000,000 613% ",Ended: 1 May 2023 ,null,null,null,null,null,null,null
42,Naviern,Pending ,null,Utility,Blockchain Service,Pending,null,Not Rated,null,Market & Returns,null,Pending ,Ended: 30 Apr 2023 ,null,null,null,null,null,null,null
43,BlueSale,"$1,600,000 ","$1,600,000 (100%) ",Utility,DeFi,"$1,600,000 ",null,Not Rated,null,Market & Returns,null,"$1,600,000 ",Ended: 28 Apr 2023 ,null,null,null,null,null,null,null
44,Open Campus,"$2,500,000 ",null,Utility,Education,Not Set,null,Not Rated,null,Market & Returns,null,"$2,500,000 ",Ended: 28 Apr 2023 ,null,null,null,null,null,null,null
45,Hepton,"$2,620,750 ","$2,620,000 (100%) ",Utility,Blockchain Service,"$2,620,000 ",null,Not Rated,null,Market & Returns,null,"$2,620,750 ",Ended: 26 Apr 2023 ,null,null,null,null,null,null,null
46,GoSleep,"$2,000,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,Market & Returns,null,"$2,000,000 ",Ended: 19 Apr 2023 ,null,null,null,null,null,null,null
47,PlayZap,"$4,350,000 ",null,Utility,Gaming,Not Set,null,Not Rated,null,Market & Returns,null,"$4,350,000 ",Ended: 18 Apr 2023 ,null,null,null,null,null,null,null
48,Crown,Pending ,null,Utility,Blockchain,Pending,null,Not Rated,null,Market & Returns,null,Pending ,Ended: 18 Apr 2023 ,null,null,null,null,null,null,null
49,Yesports,"$6,050,000 ",null,Utility,Platform,Not Set,null,Not Rated,null,Market & Returns,null,"$6,050,000 ",Ended: 15 Apr 2023 ,null,null,null,null,null,null,null
50,Reign of Terror,"$2,670,000 ","$2,670,000 (100%) ",Utility,Gaming,"$2,670,000 ","2,000,000,000",Not Rated," $375,000 ",4 Apr – 12 Apr, 1 REIGN = 0.0125 USD ,"$2,670,000 ",Ended: 12 Apr 2023 ,Solana,"14,5%",null,null,USDT,null,null
51,Reality Metaverse,"$750,000 ",null,Utility,Blockchain Service,Not Set,"1,000,000,000",Not Rated," $700,000 ",5 Apr – 11 Apr, 1 RLTM = 0.04 USD ,"$750,000 ",Ended: 11 Apr 2023 ,Polygon,22%,null,null,USDT,null,null
52,Delysium,"$14,000,000 ",null,Utility,Gaming,Not Set,"3,000,000,000",Not Rated," $20,000 ",10 Apr – 11 Apr, 1 AGI = 0.033 USD ,"$14,000,000 ",Ended: 11 Apr 2023 ,ERC20,20%,null,null,USDT,null,null
53,Moovy,"$3,610,000 ","$3,610,000 (100%) ",Utility,Gaming,"$3,610,000 ","100,000,000",Not Rated," $50,000 ",30 Mar – 11 Apr, 1 MOIL = 0.37 USD ,"$3,610,000 ",Ended: 11 Apr 2023 ,BEP-20,27%,null,null,USDT,null,null
54,KryptAI,"$100,000 ",null,Utility,Artificial Intelligence,Not Set,"1,000,000,000",Not Rated," 221,700,000 Token ",31 Mar – 9 Apr, 1 KAI = 0.000857 USD ,"$100,000 ",Ended: 9 Apr 2023 ,Own blockchain,35%,null,null,USDT,null,null
55,Pomerium,"$20,000,000 ",null,Utility,Gaming,Not Set,"1,000,000,000",Not Rated, ETH ,until 9 Apr,null,"$20,000,000 ",Ended: 9 Apr 2023 ,BEP-20,null,null,null,null,null,null
56,ChainGPT,"$905,000 ",null,Utility,Artificial Intelligence,Not Set,"1,000,000,000",Not Rated," $720,000 ",5 Apr – 8 Apr, 1 CGPT = 0.008 USD ,"$905,000 ",Ended: 8 Apr 2023 ,BEP-20,19%,null,null,USDT,null,null
57,Glory Finance,"$3,500,000 ",null,Utility,DeFi,Not Set,"150,000,000",Not Rated," $175,000 ",4 Apr – 8 Apr, 1 GLR = 0.8 USD ,"$3,500,000 ",Ended: 8 Apr 2023 ,BEP-20,10%,null,null,USDT,null,null
58,Arken Finance,Pending ,null,Utility,Blockchain Service,Pending,"10,000,000,000",Not Rated," $2,250,000 ",3 Apr – 6 Apr, 1 ARKEN = 0.004 USD ,Pending ,Ended: 6 Apr 2023 ,Own blockchain,null,null,null,USDT,null,null
59,Stella Fantasy,"$5,000,000 ",null,Utility,Gaming,Not Set,"1,000,000,000",Not Rated," $150,000 ",4 Apr – 5 Apr, 1 SFTY = 0.1 USD ,"$5,000,000 ",Ended: 5 Apr 2023 ,ERC20,"13,2%",null,null,USDT,null,null
60,WiFi Map,"$1,700,000 ","$1,700,000 (100%) ",Utility,Platform,"$1,700,000 ","1,000,000,000",Not Rated," $500,000 ",30 Mar – 1 Apr, 1 WIFI = 0.025 USD ,"$1,700,000 ",Ended: 1 Apr 2023 ,Polygon,"11,4%",null,null,USDT,null,null
61,Coniun,"$538,000 ","$700,000 (77%) ",Utility,Blockchain Service,"$700,000 ","100,000,000",Not Rated," $315,000 ",30 Mar – 31 Mar, 1 CONI = 0.045 USD ,"$538,000 ",Ended: 31 Mar 2023 ,ERC20,19%,null,null,USDT,null,null
62,Alaska Gold Rush,"$150,000 ",null,Utility,Gaming,Not Set,"1,000,000,000",Not Rated," $100,000 ",29 Mar – 30 Mar, 1 CARAT = 0.03 USD ,"$150,000 ",Ended: 30 Mar 2023 ,BEP-20,30%,null,null,USDT,null,null
63,ARTT Network,"$225,000 ","$230,000 (100%) ",Utility,Platform,"$230,000 ","2,000,000,000",Not Rated," $100,000 ",27 Mar – 30 Mar, 1 ARTT = 0.1 USD ,"$225,000 ",Ended: 30 Mar 2023 ,BEP-20,null,null,null,USDT,null,null
64,NuriTopia,Pending ,null,Utility,Platform,Pending,"5,000,000,000",Not Rated," $120,000 ",23 Mar – 24 Mar, 1 NBLU = 0.015 USD ,Pending ,Ended: 24 Mar 2023 ,BEP-20,8%,null,null,USDT,null,null
65,Arbitrum,"$123,700,000 ",null,Utility,Blockchain Service,Not Set,"10,000,000,000","
Very High ", ETH ,24 Jun – 23 Mar,null,"$123,700,000 ",Ended: 23 Mar 2023 ,ERC20,null,null,null,USDT,null,null
66,Mintlayer,"$5,200,000 ",null,Utility,DeFi,Not Set,"400,000,000",Not Rated," $100,000 ",22 Mar – 23 Mar, 1 ML = 0.25 USD ,"$5,200,000 ",Ended: 23 Mar 2023 ,ERC20,"33,77%",null,null,USDT,null,null
67,OVO NFT Platform,Pending ,null,Utility,Platform,Pending,"240,000,000",Not Rated," $150,000 ",21 Mar – 22 Mar, 1 OVO = 0.16 USD ,Pending ,Ended: 22 Mar 2023 ,ERC20,"18,75%",null,null,USDT,null,null
68,Space ID,"$12,500,000 ",null,Utility,Blockchain Service,Not Set,"2,000,000,000",Not Rated," $2,500,000 ",17 Mar – 22 Mar, 1 ID = 0.025 USD ,"$12,500,000 ",Ended: 22 Mar 2023 ,BEP-20,null,null,null,USDT,null,null
69,Minima,"$2,500,000 ","$4,500,000 (56%) ",Utility,Blockchain,"$4,500,000 ","60,000,000",Not Rated," $4,500,000 ",14 Feb – 21 Mar, 1 WMINIMA = 0.3 USD ,"$2,500,000 ",Ended: 21 Mar 2023 ,ERC20,6%,null,null,USDT,null,null
70,NeoCortexAI,"$860,000 ","$860,000 (100%) ",Utility,Platform,"$860,000 ","1,000,000,000",Not Rated," $275,000 ",13 Mar – 20 Mar, 1 CORAI = 0.005 USD ,"$860,000 ",Ended: 20 Mar 2023 ,BEP-20,"20,5%",null,null,USDT,null,null
71,InteractWith,"$1,620,000 ","$1,620,000 (100%) ",Utility,Blockchain Service,"$1,620,000 ","100,000,000",Not Rated," $825,000 ",15 Mar – 19 Mar, 1 INTER = 0.15 USD ,"$1,620,000 ",Ended: 19 Mar 2023 ,ERC20,13%,null,null,USDT,null,null
72,Honeyland,"$230,000 ",null,Utility,Gaming,Not Set,"1,000,000,000",Not Rated," $220,500 ",14 Mar – 18 Mar, 1 HXD = 0.035 USD ,"$230,000 ",Ended: 18 Mar 2023 ,Solana,23%,null,null,USDT,null,null
73,OpiPets,"$6,900,000 ","$6,900,000 (100%) ",Utility,Gaming,"$6,900,000 ","500,000,000",Not Rated," $2,400,000 ",4 Mar – 18 Mar, 1 OPIP = 0.12 USD ,"$6,900,000 ",Ended: 18 Mar 2023 ,BEP-20,14%,null,null,USDT,null,null
74,dAngel Fund,Pending ,null,Utility,Platform,Pending,"250,000,000",Not Rated, ETH ,10 Mar – 17 Mar,null,Pending ,Ended: 17 Mar 2023 ,NEAR Blockchain,20%,null,null,null,null,null
75,Degen Zoo,"$2,400,000 ","$2,400,000 (100%) ",Utility,Gaming,"$2,400,000 ","1,000,000,000",Not Rated," $2,400,000 ",24 Feb – 15 Mar, 1 DZOO = 0.006 USD ,"$2,400,000 ",Ended: 15 Mar 2023 ,BEP-20,40%,null,null,USDT,null,null
76,Rejuve.AI,"$2,250,000 ","$3,750,000 (60%) ",Utility,Artificial Intelligence,"$3,750,000 ","1,000,000,000",Not Rated," $1,500,000 ",March (no exact dates), 1 RJV = 0.015 ETH ,"$2,250,000 ",Ended: 15 Mar 2023 ,ERC20,"27,42%",null,null,USDT,null,null
77,Staika,Pending ,null,Utility,Platform,Pending,"250,000,000",Not Rated," $50,000 ",14 Mar – 15 Mar, 1 STIK = 0.25 USD ,Pending ,Ended: 15 Mar 2023 ,ERC20,12%,null,null,USDT,null,null
78,PodFast,"$780,000 ","$780,000 (100%) ",Utility,Artificial Intelligence,"$780,000 ","100,000,000",Not Rated," $780,000 ",3 Mar – 14 Mar, 1 FAST = 0.0195 USD ,"$780,000 ",Ended: 14 Mar 2023 ,BEP-20,40%,null,null,USDT,null,null
79,Your Open Metaverse,"$3,085,000 ","$3,090,000 (100%) ",Utility,Blockchain Service,"$3,090,000 ","300,000,000",Not Rated," $300,000 ", 27 Feb – 13 Mar, 1 YOM = 0.075 USD ,"$3,085,000 ",Ended: 13 Mar 2023 ,Solana,30%,null,null,USDT,null,null
80,G4AL,"$1,600,000 ",null,Utility,Platform,Not Set,"10,000,000,000",Not Rated," 125,000,000 Token ",9 Mar – 11 Mar, 1 GGT = 0.004 USD ,"$1,600,000 ",Ended: 11 Mar 2023 ,ERC20,"16,25%",null,null,USDT,null,null
81,Exorde,"$2,500,000 ","$6,180,000 (40%) ",Utility,Blockchain Service,"$6,180,000 ","200,000,000",Not Rated," $4,175,000 ",14 Feb – 10 Mar, 1 EXD = 0.35 USD ,"$2,500,000 ",Ended: 10 Mar 2023 ,ERC20,"14,4%",null,null,USDT,null,null
82,Mizar,"$3,400,000 ",null,Utility,Platform,Not Set,"10,000,000,000",Not Rated," 100,000,000 Token ",6 Mar – 8 Mar, 1 MZR = 0.002 USD ,"$3,400,000 ",Ended: 8 Mar 2023 ,BEP-20,null,null,null,null,null,null
83,Dsync,"$1,700,000 ","$1,700,000 (100%) ",Utility,Protocol,"$1,700,000 ","470,000,000",Not Rated," $900,000 ",25 Feb – 7 Mar, 1 DSYNC = 0.025 USD ,"$1,700,000 ",Ended: 7 Mar 2023 ,ERC20,"14,9%",null,null,USDT,null,null
84,CryptoGPT,Pending ,null,Utility,Blockchain,Pending,"3,000,000,000",Not Rated," $150,000 ",23 Feb – 7 Mar, 1 GPT = 0.005 USD ,Pending ,Ended: 7 Mar 2023 ,Own blockchain,20%,null,null,USDT,null,null
85,SHELTERZ,"$3,585,000 ","$3,590,000 (100%) ",Utility,Blockchain Service,"$3,590,000 ","1,000,000,000",Not Rated," $510,000 ",18 Feb – 5 Mar, 1 TERZ = 0.017 USD ,"$3,585,000 ",Ended: 5 Mar 2023 ,BEP-20,18%,null,null,USDT,null,null
86,HALO,Pending ,null,Utility,Blockchain Service,Pending,"500,000,000",Not Rated," $50,000 ",2 Mar – 3 Mar, 1 HALO = 0.02 USD ,Pending ,Ended: 3 Mar 2023 ,BEP-20,null,null,null,null,null,null
87,PARMA Fan Token,"$2,500,000 ","$2,500,000 (100%) ",Utility,Currency,"$2,500,000 ","20,000,000",Not Rated," 1,500,000 Token ",20 Feb – 1 Mar, 1 PARMA = 1 USD ,"$2,500,000 ",Ended: 1 Mar 2023 ,BEP-20,"14,5%",null,null,USDT,null,null
88,Manta Network Crowdloan,"$6,600,000 ",null,Utility,Protocol,Not Set,"1,000,000,000",Not Rated," 156,000,005 Token ",4 Nov – 1 Mar,null,"$6,600,000 ",Ended: 1 Mar 2023 ,Polkadot,15.6%,null,null,null,null,"USA, US non-accredited investors"
89,AngelBlock,"$4,200,000 ","$5,350,000 (79%) ",Utility,Protocol,"$5,350,000 ","400,000,000",Not Rated, ETH ,16 Feb – 1 Mar, 1 THOL = 0.1 USD ,"$4,200,000 ",Ended: 1 Mar 2023 ,ERC20,"8,25%",null,null,USDT,null,null
90,Iron Fish,"$32,900,000 ",null,Utility,Blockchain Service,Not Set,null,Ticker: IRON, ETH ,until 1 Mar,null,"$32,900,000 ",Ended: 1 Mar 2023 ,ERC20,null,null,null,USDT,null,null
91,Black Stallion,Pending ,null,Utility,Platform,Pending,"240,000,000",Not Rated," $1,060,000 ",7 Feb – 25 Feb, 1 BS = 0.3 USD ,Pending ,Ended: 25 Feb 2023 ,Polygon,"6,75%",null,null,USDT,null,null
92,Beldex,"$25,000,000 ",null,Utility,Blockchain Service,Not Set,"9,914,701,267",Not Rated, ETH ,until 24 Feb,null,"$25,000,000 ",Ended: 24 Feb 2023 ,ERC20,null,null,null,USDT,null,null
93,Deepwaters,"$6,600,000 ","$6,600,000 (100%) ",Utility,Exchange,"$6,600,000 ","350,000,000",Not Rated," $800,000 ",15 Feb – 18 Feb, 1 WTR = 0.12 USD ,"$6,600,000 ",Ended: 18 Feb 2023 ,ERC20,"13,1%",null,null,USDT,null,null
94,Carbon,"$1,200,000 ","$1,200,000 (100%) ",Utility,Blockchain Service,"$1,200,000 ","1,000,000,000",Not Rated," $750,000 ",30 Jan – 15 Feb, 1 CSIX = 0.01 USD ,"$1,200,000 ",Ended: 15 Feb 2023 ,BEP-20,14%,null,null,USDT,null,null
95,Tatsumeeko,"$7,560,000 ",null,Utility,Gaming,Not Set,"1,000,000,000",Not Rated," $60,000 ",until 15 Feb,null,"$7,560,000 ",Ended: 15 Feb 2023 ,ERC20,null,null,null,USDT,null,null
96,IguVerse,"$1,970,000 ",null,Governance,Gaming,Not Set,"1,000,000,000",Not Rated," $250,000 ",30 Jan – 14 Feb, 1 IGU = 0.08 USD ,"$1,970,000 ",Ended: 14 Feb 2023 ,BEP-20,"6,5%",null,"Yes (period isn't set, ",null,null,null
97,HoneyWood,"$470,000 ",null,Utility,Gaming,Not Set,"18,993,665",Not Rated," $20,000 ",13 Feb – 14 Feb, 1 CONE = 0.17 USD ,"$470,000 ",Ended: 14 Feb 2023 ,Own blockchain,"16,83%",null,null,USDT,null,null
98,Ikonic,"$3,250,000 ",null,Utility,Platform,Not Set,"1,500,000,000",Not Rated," 60,000,000 Token ",18 Oct – 11 Feb, 1 IKONIC = 0.01 USD ,"$3,250,000 ",Ended: 11 Feb 2023 ,ERC20,32%,null,null,USDT,null,null
99,Pine,"$4,500,000 ",null,Utility,Protocol,Not Set,"200,000,000",Not Rated," $268,000 ",17 Nov – 8 Feb, 1 PINE = 0.2 USD ,"$4,500,000 ",Ended: 8 Feb 2023 ,ERC20,null,null,null,USDT,null,null
100,Neon,"$45,000,000 ","$45,000,000 (100%) ",Governance,Blockchain Service,"$45,000,000 ","1,000,000,000","
Very High "," $5,000,000 ",8 Jun – 15 Jun, 1 NEON = 0.1 USD ,"$45,000,000 ",Ended: 15 Jun 2023 ,ERC20,5%,$100 / $500,null,"USDT, USDC",null,null
101,CyberConnect,"$30,400,000 ",null,Utility,Protocol,Not Set,"100,000,000","
Very High "," 3,000,000 Token ",18 May – 24 May, 1 CYBER = 1.80 USD ,"$30,400,000 ",Ended: 24 May 2023 ,ERC20,"28,12%",null,null,USDT,null,"Afghanistan, Canada, Central African Republic, China, Congo, Cote D’Ivoire, Cuba, Iran, Korea, Lebanon, Liberia, Myanmar, Somalia, South Korea, South Sudan, Sudan, Syria, USA, Venezuela, Yemen, Zimbabwe"
102,SUI ,"$52,000,000 ",null,Utility,Platform,Not Set,null,"
Very High ",null,Market & Returns,null,"$52,000,000 ",Ended: 3 May 2023 ,null,null,null,null,null,null,null
103,Republic Note,"$49,000,000 613% ",null,"335 Madison Avenue, Suite 7E, New York, NY 10017",Investment,Not Set,null,"
High ",null,Market & Returns,null,"$49,000,000 613% ",Ended: 1 May 2023 ,null,null,null,null,null,null,null
104,Arbitrum,"$123,700,000 ",null,Utility,Blockchain Service,Not Set,"10,000,000,000","
Very High ", ETH ,24 Jun – 23 Mar,null,"$123,700,000 ",Ended: 23 Mar 2023 ,ERC20,null,null,null,USDT,null,null
105,Iron Fish,"$32,900,000 ",null,Utility,Blockchain Service,Not Set,null,Ticker: IRON, ETH ,until 1 Mar,null,"$32,900,000 ",Ended: 1 Mar 2023 ,ERC20,null,null,null,USDT,null,null
106,ECO ,"$35,000,000 ",null,Utility,Blockchain Service,Not Set,null,"
Very High ",null,Market & Returns,null,"$35,000,000 ",Ended: 8 Nov 2022 ,null,null,null,null,null,null,null
107,Aptos ,"$350,000,000 ",null,Utility,Blockchain Service,Not Set,null,null, ETH ,until 17 Oct,null,"$350,000,000 ",Ended: 17 Oct 2022 ,ERC20,null,null,null,USDT,null,null
