source_dataset,row_index,symbol,name,coingecko_found,cmc_found,cryptototem_found,note
icpsr_villanueva,970,ICST,icst,False,False,False,not_found_anywhere
icpsr_villanueva,972,BBX,blockbits,False,False,False,not_found_anywhere
icpsr_villanueva,973,BLO,blok,False,False,False,not_found_anywhere
icpsr_villanueva,987,REO,reo,False,False,False,not_found_anywhere
icpsr_villanueva,1006,KYT,keyrpto,False,False,False,not_found_anywhere
icpsr_villanueva,1008,CTU,contractiumio,False,False,False,not_found_anywhere
icpsr_villanueva,1011,HIDU,heducationworld,False,False,False,not_found_anywhere
icpsr_villanueva,1013,GOVT,thegovernmentnetwork,False,False,False,not_found_anywhere
icpsr_villanueva,1014,MEDTK,medica,False,False,False,not_found_anywhere
icpsr_villanueva,1020,CGM,clickgem,False,False,False,not_found_anywhere
icpsr_villanueva,1021,HDC,hdcoin,False,False,False,not_found_anywhere
icpsr_villanueva,1024,FINX,finx,False,False,False,not_found_anywhere
icpsr_villanueva,1025,FIKA,cafecoin,False,False,False,not_found_anywhere
icpsr_villanueva,1028,UPZ,upthinity,False,False,False,not_found_anywhere
icpsr_villanueva,1031,PMTN,peermountain,False,False,False,not_found_anywhere
icpsr_villanueva,1032,IBO,inbet,False,False,False,not_found_anywhere
icpsr_villanueva,1037,,ttcprotocol,False,False,False,missing_symbol
icpsr_villanueva,1038,SOSR,sosr,False,False,False,not_found_anywhere
icpsr_villanueva,1040,Mundus,mundus,False,False,False,not_found_anywhere
icpsr_villanueva,1042,NACRE,nacreous,False,False,False,not_found_anywhere
icpsr_villanueva,1047,FTKA,ftka,False,False,False,not_found_anywhere
icpsr_villanueva,1048,DXBC,dubailancerstoken,False,False,False,not_found_anywhere
icpsr_villanueva,1049,LXM,lexzoom,False,False,False,not_found_anywhere
icpsr_villanueva,1050,SPDC,spadecoin,False,False,False,not_found_anywhere
icpsr_villanueva,1051,DTQ,dynatiq,False,False,False,not_found_anywhere
icpsr_villanueva,1052,THAI,thaiclubcoin,False,False,False,not_found_anywhere
icpsr_villanueva,1053,BRICBIT,bricbit,False,False,False,not_found_anywhere
icpsr_villanueva,1055,SRXIO,securix,False,False,False,not_found_anywhere
icpsr_villanueva,1059,GXB,gcbib,False,False,False,not_found_anywhere
icpsr_villanueva,1060,XRK,recordskeeper,False,False,False,not_found_anywhere
icpsr_villanueva,1061,SAPIS,socratescoin,False,False,False,not_found_anywhere
icpsr_villanueva,1062,PSF,primeshippingfoundation,False,False,False,not_found_anywhere
icpsr_villanueva,1065,MXD,maxdata,False,False,False,not_found_anywhere
icpsr_villanueva,1068,ICU,icumulate,False,False,False,not_found_anywhere
icpsr_villanueva,1072,empw,empowr,False,False,False,not_found_anywhere
icpsr_villanueva,1074,,globitex,False,False,False,missing_symbol
icpsr_villanueva,1077,RMOB,rewardmob,False,False,False,not_found_anywhere
icpsr_villanueva,1080,Trial,trialtoken,False,False,False,not_found_anywhere
icpsr_villanueva,1083,PDL,pandalancer,False,False,False,not_found_anywhere
icpsr_villanueva,1090,CSZ,coinseason,False,False,False,not_found_anywhere
icpsr_villanueva,1092,PINMO,pinmo,False,False,False,not_found_anywhere
icpsr_villanueva,1093,FROIN,froshfeel,False,False,False,not_found_anywhere
icpsr_villanueva,1096,BYS,byeshares,False,False,False,not_found_anywhere
icpsr_villanueva,1098,(Walnut),itoassendelft,False,False,False,not_found_anywhere
icpsr_villanueva,1099,REPS,reposalnetwork,False,False,False,not_found_anywhere
icpsr_villanueva,1101,KARUNA,karunanetwork,False,False,False,not_found_anywhere
icpsr_villanueva,1102,TWIX,twixacoin,False,False,False,not_found_anywhere
icpsr_villanueva,1105,Lyves,lyves,False,False,False,not_found_anywhere
icpsr_villanueva,1106,CCINT,ccint,False,False,False,not_found_anywhere
icpsr_villanueva,1108,ETHTT,ethtravel,False,False,False,not_found_anywhere
icpsr_villanueva,1111,SWIT,switcoin,False,False,False,not_found_anywhere
icpsr_villanueva,1112,SCENE,cryptoscene,False,False,False,not_found_anywhere
icpsr_villanueva,1117,AENT,aen,False,False,False,not_found_anywhere
icpsr_villanueva,1119,MOAT,icoheadstart,False,False,False,not_found_anywhere
icpsr_villanueva,1121,WHO,truwho,False,False,False,not_found_anywhere
icpsr_villanueva,1122,ROLE,rolecoin,False,False,False,not_found_anywhere
icpsr_villanueva,1124,YUT,yizoot,False,False,False,not_found_anywhere
icpsr_villanueva,1125,ODEEP,odeep,False,False,False,not_found_anywhere
icpsr_villanueva,1126,BRKC,brick,False,False,False,not_found_anywhere
icpsr_villanueva,1128,GREIT,rilstat,False,False,False,not_found_anywhere
icpsr_villanueva,1131,CREV,cryptorevolution,False,False,False,not_found_anywhere
icpsr_villanueva,1133,IVYN,ivyn,False,False,False,not_found_anywhere
icpsr_villanueva,1134,KHP,kheper,False,False,False,not_found_anywhere
icpsr_villanueva,1136,PYP,pyapay,False,False,False,not_found_anywhere
icpsr_villanueva,1138,YSN,ysign,False,False,False,not_found_anywhere
icpsr_villanueva,1140,eMTV,multiversum,False,False,False,not_found_anywhere
icpsr_villanueva,1141,FOP,fopcoin,False,False,False,not_found_anywhere
icpsr_villanueva,1142,PECUNIA,pecunia,False,False,False,not_found_anywhere
icpsr_villanueva,1146,GRE8,gre8,False,False,False,not_found_anywhere
icpsr_villanueva,1148,Bronix,bronix,False,False,False,not_found_anywhere
icpsr_villanueva,1149,CLDX,cloverdex,False,False,False,not_found_anywhere
icpsr_villanueva,1152,T8EX,t8ex,False,False,False,not_found_anywhere
icpsr_villanueva,1153,DTZ,digitize,False,False,False,not_found_anywhere
icpsr_villanueva,1155,BKBK,blockbroker,False,False,False,not_found_anywhere
icpsr_villanueva,1156,CLASSYCOIN,classycoin,False,False,False,not_found_anywhere
icpsr_villanueva,1160,NKL,nickelcoin,False,False,False,not_found_anywhere
icpsr_villanueva,1162,XS2,xs2exchange,False,False,False,not_found_anywhere
icpsr_villanueva,1164,KKN,kakushin,False,False,False,not_found_anywhere
icpsr_villanueva,1166,QXE,quixxiconnect,False,False,False,not_found_anywhere
icpsr_villanueva,1167,OZEX,ozex,False,False,False,not_found_anywhere
icpsr_villanueva,1169,VTP,vestopia,False,False,False,not_found_anywhere
icpsr_villanueva,1171,,havven,False,False,False,missing_symbol
icpsr_villanueva,1172,AMRS,ammeris,False,False,False,not_found_anywhere
icpsr_villanueva,1173,CFND,cryptfunder,False,False,False,not_found_anywhere
icpsr_villanueva,1176,108T,108token,False,False,False,not_found_anywhere
icpsr_villanueva,1177,BXM,bitmed,False,False,False,not_found_anywhere
icpsr_villanueva,1178,SWAPY,swapynetwork,False,False,False,not_found_anywhere
icpsr_villanueva,1182,BYTM,bytemine,False,False,False,not_found_anywhere
icpsr_villanueva,1183,DBCCoin,datablockchain,False,False,False,not_found_anywhere
icpsr_villanueva,1186,SPRY,spryone,False,False,False,not_found_anywhere
icpsr_villanueva,1187,INFLR,inflr,False,False,False,not_found_anywhere
icpsr_villanueva,1190,EQI,eqi,False,False,False,not_found_anywhere
icpsr_villanueva,1191,HOARD,hoardwallet,False,False,False,not_found_anywhere
icpsr_villanueva,1193,EPR,etainpower,False,False,False,not_found_anywhere
icpsr_villanueva,1195,Qurrex,qurrex,False,False,False,not_found_anywhere
icpsr_villanueva,1196,JVY,javvy,False,False,False,not_found_anywhere
icpsr_villanueva,1197,T50,tripteriumt50,False,False,False,not_found_anywhere
icpsr_villanueva,1198,XVT,vantagetoken,False,False,False,not_found_anywhere
icpsr_villanueva,1201,TTU,tatatu,False,False,False,not_found_anywhere
icpsr_villanueva,1203,LPX,loopx,False,False,False,not_found_anywhere
icpsr_villanueva,1204,eByte,ebyte,False,False,False,not_found_anywhere
icpsr_villanueva,1205,MILC,milc,False,False,False,not_found_anywhere
icpsr_villanueva,1206,RiX,beatrix,False,False,False,not_found_anywhere
icpsr_villanueva,1207,LVR,lovrpreico,False,False,False,not_found_anywhere
icpsr_villanueva,1208,SMAG,smartgenieio,False,False,False,not_found_anywhere
icpsr_villanueva,1210,Drivero,drivero,False,False,False,not_found_anywhere
icpsr_villanueva,1213,CHRYPTO,chrypto,False,False,False,not_found_anywhere
icpsr_villanueva,1214,ANKH,beankh,False,False,False,not_found_anywhere
icpsr_villanueva,1215,WHO,whohas,False,False,False,not_found_anywhere
icpsr_villanueva,1216,CVER,cverification,False,False,False,not_found_anywhere
