web adress,name,ticker,ico success,industry,platform,ieo,mininvest,country,kyc,wlist,regulkyc,regtax,restusa,restchina,tokens f sale,accepting,eth,btc,fiat,ltc,dash,xrp,zec,neo,eos,other,protocol type,distributed in ico,softcap,hardcap,amount raised,circsupply,price mkt,price pre ico,price ico,regulkyc dates,pre ico starts,pre ico ends,total days,ico starts,ico ends,total days.1,artificial intelligence,art,banking,big data,business services,charity,communication,cryptocurrency,education,electronics,energy,enterntainment,health,infrastructre,internet,investment,legal,manufacturing,media,platform.1,real estate,retail,smart contract,software,sports,tourism,virtual reality,other.1,name_std,symbol_std,softcap_usd,hardcap_usd,amount raised_usd,ico_successful,regulkyc dates_parsed
/ico/watchugot,WatchUGot,WUG,0,15,6.0,0,1.0,4,1.0,1.0,1.0,0.0,1,1,100000000.0," ETH, BTC",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.1,1879488.0,229382768.11,0.0,,,,0.0718,2017-11-27 00:00:00,2019-01-04,2019-02-01,28,2019-02-01,2019-04-10,68.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,watchugot,WUG,1879488.0,229382768.11,0.0,0,2017-11-27
/ico/inscoin-for-knox-project,InsCoin for Knox Project,INSC,0,5,6.0,0,1.0,4,1.0,0.0,1.0,0.0,1,1,270000000.0, ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.54,1927680.0,249938505.67,0.0,,,1 INSC = 0.0002 ETH,0.0564,2017-11-27 00:00:00,2018-06-23,2018-07-08,15,2018-07-23,2018-08-30,38.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inscoinforknoxproject,INSC,1927680.0,249938505.67,0.0,0,2017-11-27
/ico/vtrade,VTradeExchange OÜ,VTRD,0,8,6.0,0,0.0,4,1.0,1.0,1.0,0.0,1,0,275000000.0,"BTC, ETC, Fiat",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,0.0,,,,0.05,2017-11-27 00:00:00,,,0,2019-02-18,2019-04-25,66.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vtradeexchangeo,VTRD,,,0.0,0,2017-11-27
/ico/ai-opinion,AI Opinion,AIOP,0,1,6.0,0,2.0,4,1.0,1.0,1.0,0.0,0,0,500000000.0,"ETH, BTC, Fiat",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,50000000.0,200000000.0,0.0,,,,0.04,2017-11-27 00:00:00,,,0,2018-07-01,2018-08-31,61.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aiopinion,AIOP,50000000.0,200000000.0,0.0,0,2017-11-27
/ico/neuromachine,Neuromachine,NRM,0,9,6.0,0,1.0,4,1.0,0.0,1.0,0.0,1,0,2826250000.0," ETH, BTC, LTC, DASH",1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.57,,65000000.0,0.0,,,,0.04,2017-11-27 00:00:00,2018-05-15,2018-06-15,31,2019-03-02,2019-06-01,91.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,neuromachine,NRM,,65000000.0,0.0,0,2017-11-27
/ico/cedium,Cedium,CEU,0,20,6.0,0,1.0,4,1.0,0.0,1.0,0.0,1,1,160000000.0," ETH, BTC",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.4,,253461622.22,0.0,,,,0.0295,2017-11-27 00:00:00,2018-11-05,2018-12-03,28,2018-12-04,2018-12-31,27.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cedium,CEU,,253461622.22,0.0,0,2017-11-27
/ico/depository-network,Depository Network,DEPO,0,14,6.0,0,1.0,4,1.0,1.0,1.0,0.0,1,1,2300000000.0,"BTC, ETH, LTC, BCN, BTG",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.7,2600000.0,15000000.0,0.0,,,,0.02,2017-11-27 00:00:00,2018-06-26,2018-08-10,45,2018-11-15,2018-12-15,30.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,depositorynetwork,DEPO,2600000.0,15000000.0,0.0,0,2017-11-27
/ico/betinreal,BetInReal,BetInReal,0,24,6.0,0,1.0,4,1.0,1.0,1.0,0.0,1,1,480000000.0, ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.53,2000000.0,9600000.0,0.0,,,,0.02,2017-11-27 00:00:00,2019-02-01,2018-02-28,-338,2019-03-01,2019-05-31,91.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,betinreal,BetInReal,2000000.0,9600000.0,0.0,0,2017-11-27
/ico/drivr-network,DRIVR Network,DVR,0,1,6.0,0,1.0,4,0.0,0.0,1.0,0.0,1,0,650000000.0,"ETH, BTC, LTC, BCH",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.86,,30000000.0,0.0,,,,0.0185,2017-11-27 00:00:00,2018-02-06,2018-03-05,27,2018-03-06,2018-04-06,31.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drivrnetwork,DVR,,30000000.0,0.0,0,2017-11-27
/ico/profede,Profede,PATO,0,5,6.0,0,0.0,4,1.0,0.0,1.0,0.0,0,0,3000000000.0,ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,1500000.0,20000000.0,0.0,,,,0.01,2017-11-27 00:00:00,2018-03-01,2018-05-31,91,2018-06-01,2018-09-15,106.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,profede,PATO,1500000.0,20000000.0,0.0,0,2017-11-27
