name_other,name_cmc,ticker_symbol_cmc,ico_successful,soft_cap,hard_cap,cap_unit,cap_includes_presale,token_type,number_of_contributors,crowdsale_tokens_sold,total_number_of_tokens,token_standard,additional_token_emissions,crowdsale_token_price_min,crowdsale_token_price_max,crowdsale_actual_token_price_max,crowdsale is auction,has a presale,presale_tokens_sold,presale_token_price_min,presale_token_price_max,development road map available,whitepaper page count,product or prototype developed,product can be tried out,years since foundation,issuer has customers for product,business model available,utility token enables decentralization,smart contract code available,project code available,use of proceeds mentioned,use of proceeds disclosed in detail,token share team (ex ante),token share crowdsale investors (ex ante),token share presale investors (ex ante),token share producers/miners (ex ante),unsold tokens 'burnt' or proportional allocation,unsold tokens kept by issuer,unsold tokens locked up,lock up period unsold tokens (years),team lockup period (weighted avg.),presale lockup period (weighted avg.),vc_support_general,vc_support_blockchain_specialist,investors have governance rights,team size,experienced team,team member with business background,advisor_quality,legal_structure,registration_country,address,independent custodian for ico funds,portfolio_converted_into_fiat,funding milestones,qualified investors only,simple agreement for future tokens (saft),kyc/aml procedure,us retail investors excluded,investors from other (non-us) jurisdictions excluded,legal advisor disclosed,financial advisor disclosed,air_drop_after_ico,industry,ethereum_contract_address,ico_start_date,ico_end_date_planned,ico_end_date_actual,amount raised in presale (usdm),amount raised in crowdsale (usdm),total amount raised (usdm),total amount raised (usdm).1,btc_ret_ico_period,presale discount (%),fundraiser has maximum ('hard cap'),fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,percentage of hard cap raised (%),pct_of_crowdsale_target_raised,price_presale_avg,price_presale,price_crowdsale_avg,price_crowdsale,crowdsale max. discount (%),us_qualified_only,team business background missing,team experience missing,average_discount,team tokens locked up,presale tokens locked up,issued_on_other_platf,legal form and jurisdiction known,postal address known,registered in offshore financial center,switzerland,is_ethereum,is cryptographic token,has vc backing,has_generalist_vc,has_specialist_vc,unknown or low quality advisors,high quality advisory team,token supply is fixed,token share crowdsale investors (ex post),post_money_val_crowdsale,celebrity endorsement,is a security,is a utility token,token_is_cryptocurrency,token_is_new_blockchain,is currency or general purpose blockchain,decentralised platform,legal entity is foundation,legal entity is corporation,legal entity is llc,legal entity is corporation or llc,"length of crowdsale (calendar days, actual)","length of crowdsale (calendar days, planned)",lock_up_period_team_ep,presale_transparent,industry.1,(first) date,time to listing (calendar days),name_std,symbol_std,soft_cap_usd,hard_cap_usd,independent custodian for ico funds_usd
Aventus,Aventus,AVT,1,10902391.30434782,21804782.60869564,tokens,1,Utility-token,,3000000.0,10000000.0,ERC-20,0,3.634130434782607,3.634130434782607,3.634130434782607,0,1,3000000.0,3.03948494,3.03948494,1,18.0,1,1,1,0,1,0.0,1.0,0,0,0,0.4,0.3,0.3,0.0,1,0,,,,,No,Global Advisors,1,,0,0,unknown,joint-stock corporation,United Kingdom,"Kemp House 160 City Road, London, United Kingdom, EC1V 2NX ",0,0,0,0,0,0,0,0,0,0,0,Events & Entertainment,0x0d88ed6e74bbfd96b831231638b66c05571e824f,2017-09-06,2017-09-13,2017-09-06,9.118454933166504,10.90239143371582,20.020845413208008,20.020845413208008,0.0,16.36280059814453,1,1,tokens,tokens,91.81859588623047,85.93811798095703,3.039484977722168,3.039484977722168,3.6341304779052734,3.6341304779052734,0.0,0,1,1,8.181405067443848,0,0.0,1,1,1,0,0,1,1,1,0,1,1,0,1,0.30000001192092896,36.341304779052734,0,0,1,0,0,0,0,0,1,0,1.0,1,8.0,,1,Events & Entertainment,2017-09-06,0.0,aventus,avt,10902391.30434782,21804782.60869564,0.0
aXpire,AXpire,AXPR,1,3000000.0,20000000.0,USD,1,Utility-token,,245000000.0,350000000.0,ERC-223,0,0.07,0.1,0.1,0,0,,,,1,24.0,0,0,1,0,0,1.0,1.0,1,0,0,0.3,0.7,0.0,0.0,1,0,0.0,,,,No,No,0,15.0,1,0,high,unknown,Singapore,unknown,0,0,0,0,0,1,0,1,0,0,0,Finance,0x9af2c6b1a28d3d6bc084bd267f70e90d49741d5b,2018-01-08,2018-03-22,2018-01-12,0.0,20.0,20.0,20.0,-0.08165573328733444,,1,1,USD,USD,100.0,100.0,,,0.08163265138864517,0.08163265138864517,30.0,0,0,0,18.367347717285156,0,,1,0,0,0,0,1,1,0,0,0,0,1,1,0.699999988079071,28.571428298950195,0,0,1,0,0,0,1,0,0,0,,5,74.0,,1,Finance,,,axpire,axpr,3000000.0,20000000.0,0.0
B2BX,B2BX,B2B,1,5899500.0,29497500.0,EUR,1,Utility-token,,13415867.6,19822337.0,ERC-20,0,0.63183645,0.743337,0.743337,0,1,2442002.0,0.48316904999999993,0.48316904999999993,1,37.0,1,1,3,1,1,1.0,0.0,0,1,0,0.2,0.6768055451786538,0.1231944548213462,0.0,1,0,,,0.5,,No,No,0,21.0,1,1,high,limited liability partnership,United Kingdom,"3rd floor, fairgate House, 78 Oxford Street, London, United Kingdom, WC1A 1HB",0,0,0,0,0,0,1,1,0,1,0,Trading & Exchanges,0x5d51fcced3114a8bb5e90cdd0f9d682bcbcc5393,2017-10-02,2017-11-17,2017-11-17,1.1781200170516968,8.365568161010742,9.54368782043457,9.54368782043457,0.5586667060852051,35.0,1,1,EUR,EUR,32.354225158691406,29.540081024169922,0.4831690490245819,0.4831690490245819,0.6235577464103699,0.6235577464103699,15.0,0,0,0,19.03717803955078,1,0.0,1,1,1,0,0,1,1,0,0,0,0,1,1,0.6768055558204651,12.360371589660645,0,0,1,0,0,0,1,0,0,1,1.0,47,47.0,0.5,1,Trading & Exchanges,2017-11-20,3.0,b2bx,b2b,5899500.0,29497500.0,0.0
Banca (BANC),Banca,BANCA,1,,1000000.0,tokens,1,Utility-token,,,20000000000.0,ERC-20,0,,0.002,0.002,0,1,,,,0,44.0,0,0,0,0,0,0.0,0.0,0,1,0,,,,,0,1,0.0,0.0,,,No,No,0,8.0,1,1,high,joint-stock corporation,Singapore,"Bancatech foundation ltd, 6 Eu Tong Sen Street #12-17 The Central, Singapore 059817",0,0,0,0,0,1,1,1,0,0,0,Marketplaces,0x998b3b82bc9dba173990be7afb772788b5acb8bd,2018-02-26,2018-02-26,2018-02-26,,,,,0.0,,1,0,tokens,tokens,,,,,,,,0,0,0,,0,0.0,1,1,1,0,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,0,0,1,0,1.0,1,1.0,,0,Marketplaces,2018-03-19,21.0,bancabanc,banca,,1000000.0,0.0
Bancor,Bancor,BNT,1,0.0,,tokens,1,Utility-token,10885.0,39600000.0,79300000.0,ERC-20,0,4.0149,4.0149,4.0149,0,0,,,,0,13.0,0,0,4,0,0,1.0,0.0,1,1,0,0.5,0.5,0.0,0.0,1,0,,,1.75,,No,Blockchain Capital; Draper Associates,0,9.0,1,1,high,foundation,Switzerland,"Bprotocol Stiftung, c/o Sielva Management SA, Gubelstrasse 11, 6300 Zug",1,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,2017-06-12,2017-06-26,2017-06-12,0.0,159.27911376953125,159.27911376953125,159.27911376953125,0.0,,1,0,tokens,tokens,,,,,4.014900207519531,4.014900207519531,0.0,0,0,0,-0.18181350827217102,1,,1,1,1,0,1,1,1,1,0,1,0,1,1,0.49936947226524353,318.96044921875,0,0,1,0,0,0,1,1,0,0,0.0,1,15.0,1.75,1,Trading & Exchanges,2017-06-18,6.0,bancor,bnt,0.0,,1.0
Bankex,Bankex,BKX,1,15476800.0,108337600.0,ETH,1,Utility-token,,,400000000.0,ERC-20,0,1.4069818181818041,1.5476800000000002,1.5476800000000002,0,1,,1.1054857142856922,1.2381440000000001,1,36.0,1,1,2,1,1,1.0,1.0,0,1,0,0.8,,,0.0,0,1,0.0,0.0,,,No,No,0,28.0,1,1,high,unknown,Cayman Islands,"BKX, PO Box 309, Ugland House, Grand Cayman, KY1-1104",0,0,0,0,0,1,1,0,0,0,0,Finance,0x45245bc59219eeaaf6cd3f382e078a461ff9de7b,2017-11-28,2017-12-28,2017-12-26,20.0,54.32356643676758,74.32357025146484,74.32357025146484,0.4703589677810669,28.571428298950195,1,1,ETH,ETH,68.60366821289062,61.49540710449219,,1.1718147993087769,,1.4773309230804443,9.090909004211426,1,0,0,,0,0.0,1,0,1,1,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,1,0,0,0,,29,31.0,,0,Finance,2018-01-13,18.0,bankex,bkx,15476800.0,108337600.0,0.0
Basic Attention Token,Basic Attention Token,BAT,1,6307394.346,36042187.5,ETH,1,Utility-token,,1000000000.0,1500000000.0,ERC-20,0,0.036042187499999996,0.036042187499999996,0.036042187499999996,0,0,,,,1,37.0,1,1,1,1,0,1.0,1.0,1,1,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0,1,0.0,0.0,0.0636428571428571,,Foundation Capital; Founders Fund; Propel Venture Partners; Danhua Capital,Huiyin Blockchain Venture; Pantera capital; Digital Currency Group; Digital Finance Group,0,12.0,1,1,high,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,0,0,0,0,0,0,Commerce & Advertising,0x0d8775f648430679a709e98d2b0cb6250d2887ef,2017-05-31,2017-05-31,2017-05-31,0.0,36.04218673706055,36.04218673706055,36.04218673706055,0.0,,1,1,ETH,ETH,100.0,100.0,,,0.03604218736290932,0.03604218736290932,0.0,0,0,0,3.803617119046976e-07,1,,1,1,0,1,0,1,1,1,1,1,0,1,1,0.6666666865348816,54.06327819824219,0,0,1,0,0,0,1,0,1,0,1.0,1,1.0,0.06364285945892334,1,Commerce & Advertising,2017-06-01,1.0,basicattentiontoken,bat,6307394.346,36042187.5,0.0
Betmaster,Betmaster,BETM,1,0.0,100000000.0,tokens,1,Security,,6670017.0,6670017.0,ERC-20,0,0.7692307692307692,1.0,0.7692307692307692,0,0,,,,1,40.0,1,1,2,1,1,,0.0,0,0,0,0.0,1.0,0.0,0.0,0,1,0.0,0.0,,,No,No,0,9.0,0,1,unknown,joint-stock corporation,Estonia,"Reinvent Baltics OÜ Harju maakond, Tallinn, Kesklinna linnaosa, Roosikrantsi tn 2-K331, 10119 ",0,0,0,0,0,1,0,0,1,0,0,Gambling & Betting,unknown,2017-09-06,2017-12-31,2017-12-31,0.0,5.244312763214111,5.244312763214111,5.244312763214111,1.1247367858886719,,1,0,tokens,tokens,5.244312763214111,5.244312763214111,,,0.7692307829856873,0.7692307829856873,23.076923370361328,0,0,1,21.374820709228516,0,,1,1,1,0,0,1,1,0,0,0,1,0,1,1.0,5.244312763214111,0,1,0,0,0,0,0,0,1,0,1.0,117,117.0,,1,Gambling & Betting,,,betmaster,betm,0.0,100000000.0,0.0
Bitbounce,Credo,CREDO,1,10096667.03125,20096667.03125,USD,0,Utility-token,,118545571.228,1374729257.2286,ERC-20,0,0.09879264392325446,0.09879264392325446,0.09879264392325446,0,1,26000000.0,0.003717962665390318,0.003717962665390318,0,36.0,1,1,3,1,1,1.0,1.0,0,0,0,0.5810871850851455,0.4,0.0189128149148546,0.0,0,1,0.0,0.0,,,No,Tim Draper,0,10.0,0,1,high,joint-stock corporation,United States,"Turing Technology, Inc., 655 Oak Grove Ave #1, Menlo Park, CA 94025",0,0,0,0,0,0,0,0,0,0,1,Communications,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,2017-07-26,2017-07-26,2017-08-29,0.09666702896356583,11.711429595947266,11.808096885681152,11.808096885681152,0.5934830904006958,96.23660278320312,1,1,USD,USD,58.756492614746094,58.557151794433594,0.0037179626524448395,0.0037179626524448395,0.09879264235496521,0.09879264235496521,0.0,0,0,1,17.310474395751953,0,0.0,1,1,1,0,0,1,1,1,0,1,0,1,1,0.08623193949460983,135.81312561035156,0,0,1,0,0,0,1,0,1,0,1.0,35,1.0,,1,Communications,2017-09-13,15.0,bitbounce,credo,10096667.03125,20096667.03125,0.0
BitClave,BitClave,CAT,1,0.0,25688493.0,USD,1,Cryptocurrency,,50000000.0,2000000000.0,ERC-20,0,0.072,0.072,0.092,0,1,,0.025,0.0325,1,51.0,1,1,1,0,0,,1.0,1,1,0,0.5,0.05,0.45,0.0,1,0,0.0,,0.3,,No,No,0,12.0,1,1,high,joint-stock corporation,Singapore,unknown,0,0,0,0,0,1,1,1,1,1,1,Search,0x1234567461d3f8db7496581774bd869c83d51c93,2017-11-29,2017-11-29,2017-12-29,22.14149284362793,3.546999931335449,25.688491821289062,25.688491821289062,0.3934798538684845,65.27777862548828,1,0,USD,USD,99.99999237060547,99.99996948242188,,0.028750000521540642,0.07094000279903412,0.07094000279903412,0.0,0,0,0,,1,0.0,1,1,0,0,0,1,1,0,0,0,0,1,1,0.02500000037252903,141.87998962402344,0,0,0,1,0,1,1,0,1,0,1.0,31,1.0,0.30000001192092896,0,Search,2018-01-02,4.0,bitclave,cat,0.0,25688493.0,0.0
