name_other,name_cmc,ticker_symbol_cmc,ico_successful,soft_cap,hard_cap,cap_unit,cap_includes_presale,token_type,number_of_contributors,crowdsale_tokens_sold,total_number_of_tokens,token_standard,additional_token_emissions,crowdsale_token_price_min,crowdsale_token_price_max,crowdsale_actual_token_price_max,crowdsale is auction,has a presale,presale_tokens_sold,presale_token_price_min,presale_token_price_max,development road map available,whitepaper page count,product or prototype developed,product can be tried out,years since foundation,issuer has customers for product,business model available,utility token enables decentralization,smart contract code available,project code available,use of proceeds mentioned,use of proceeds disclosed in detail,token share team (ex ante),token share crowdsale investors (ex ante),token share presale investors (ex ante),token share producers/miners (ex ante),unsold tokens 'burnt' or proportional allocation,unsold tokens kept by issuer,unsold tokens locked up,lock up period unsold tokens (years),team lockup period (weighted avg.),presale lockup period (weighted avg.),vc_support_general,vc_support_blockchain_specialist,investors have governance rights,team size,experienced team,team member with business background,advisor_quality,legal_structure,registration_country,address,independent custodian for ico funds,portfolio_converted_into_fiat,funding milestones,qualified investors only,simple agreement for future tokens (saft),kyc/aml procedure,us retail investors excluded,investors from other (non-us) jurisdictions excluded,legal advisor disclosed,financial advisor disclosed,air_drop_after_ico,industry,ethereum_contract_address,ico_start_date,ico_end_date_planned,ico_end_date_actual,amount raised in presale (usdm),amount raised in crowdsale (usdm),total amount raised (usdm),total amount raised (usdm).1,btc_ret_ico_period,presale discount (%),fundraiser has maximum ('hard cap'),fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,percentage of hard cap raised (%),pct_of_crowdsale_target_raised,price_presale_avg,price_presale,price_crowdsale_avg,price_crowdsale,crowdsale max. discount (%),us_qualified_only,team business background missing,team experience missing,average_discount,team tokens locked up,presale tokens locked up,issued_on_other_platf,legal form and jurisdiction known,postal address known,registered in offshore financial center,switzerland,is_ethereum,is cryptographic token,has vc backing,has_generalist_vc,has_specialist_vc,unknown or low quality advisors,high quality advisory team,token supply is fixed,token share crowdsale investors (ex post),post_money_val_crowdsale,celebrity endorsement,is a security,is a utility token,token_is_cryptocurrency,token_is_new_blockchain,is currency or general purpose blockchain,decentralised platform,legal entity is foundation,legal entity is corporation,legal entity is llc,legal entity is corporation or llc,"length of crowdsale (calendar days, actual)","length of crowdsale (calendar days, planned)",lock_up_period_team_ep,presale_transparent,industry.1,(first) date,time to listing (calendar days),name_std,symbol_std,soft_cap_usd,hard_cap_usd,independent custodian for ico funds_usd
Databits,Databits,DTB,1,1053334.64453125,5506526.667197918,USD,0,Utility-token,,15245466.0,22747808.0,No,0,0.07866466666670599,0.117997,0.117997,0,1,678000.0,,,0,0.0,0,0,1,0,0,0.0,,0,0,0,0.3,0.69322,0.00678,0.0,1,0,,,,,No,No,0,,0,1,neutral,joint-stock corporation,South Africa,"K2015416900, 11TH FLOOR TOUCHSTONE HOUSE, 7 BREE STREET FORESHORE, CAPE TOWN, WESTERN CAPE, 8001",0,0,0,0,0,0,0,0,0,0,0,Video Games & VR,not applicable,2017-01-30,2017-02-28,2017-02-28,0.05333464592695236,1.0560730695724487,1.1094077825546265,1.1094077825546265,0.248457670211792,,1,1,USD,USD,20.14714241027832,19.366146087646484,,,0.06927128881216049,0.06927128881216049,33.33333206176758,0,0,1,40.9550666809082,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.6701949238777161,1.5757700204849243,0,0,1,0,0,0,0,0,1,0,1.0,30,30.0,,1,Video Games & VR,2017-03-30,30.0,databits,dtb,1053334.64453125,5506526.667197918,0.0
Datum,Datum,DAT,1,2137600.0,26164224.0,ETH,1,Utility-token,,437558931.0,2653841597.0,ERC-20,0,0.014870260869585662,0.0171008,0.0171008,0,1,214802742.0,0.009000421052611327,0.011400533333347583,1,37.0,1,1,1,0,1,1.0,0.0,0,1,0,0.49,0.438399086,0.071600914,0.0,0,1,1.0,1.0,0.6164965986394557,,No,No,0,12.0,1,1,neutral,limited liability partnership,Switzerland,"Datum Network GmbH,  Gotthardstrasse 26, 6300 Zug",0,0,0,0,0,1,1,1,1,0,0,Commerce & Advertising,0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c,2017-10-29,2017-11-29,2017-11-29,2.1375999450683594,4.615036964416504,6.752636909484863,6.752636909484863,0.4743056893348694,47.3684196472168,1,1,ETH,ETH,25.808666229248047,19.2080135345459,0.009951455518603325,0.009951455518603325,0.010547235608100891,0.010547235608100891,13.043478012084961,0,0,0,39.47030258178711,1,0.0,1,1,1,0,1,1,1,0,0,0,0,0,1,0.16487756371498108,27.990690231323242,0,0,1,0,0,0,1,0,0,1,1.0,32,32.0,0.7659884095191956,1,Commerce & Advertising,2017-12-15,16.0,datum,dat,2137600.0,26164224.0,0.0
DCORP,DCORP,DRP,1,826807.9999999999,10849000.0,EUR,1,Security,,,8094002.47,ERC-20,1,0.46596923076921914,0.7572,0.7572,0,0,,,,1,26.0,0,0,0,0,1,,1.0,0,1,0,0.183875,0.816125,0.0,0.0,1,0,,,1.613188307273963,,No,No,1,4.0,1,1,neutral,limited liability partnership,Netherlands,unknown,0,0,0,0,0,0,0,0,1,0,0,Finance,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed,2017-06-01,2017-06-29,2017-06-29,0.0,5.120791912078857,5.120791912078857,5.120791912078857,0.05314963683485985,,1,1,EUR,EUR,47.20058822631836,47.20058822631836,,,,0.6115846037864685,38.46154022216797,0,0,0,,1,,1,1,0,0,0,1,1,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1,1.0,29,29.0,1.6131882667541504,1,Finance,2017-11-09,133.0,dcorp,drp,826807.9999999999,10849000.0,0.0
Debitum Network (DBT),Debitum,DEB,1,0.0,20863680.0,ETH,1,Utility-token,,160260000.0,400000000.0,ERC-223,0,0.0999218390804318,0.1337415384615786,0.1337415384615786,0,0,,,,1,88.0,0,0,0,0,1,1.0,1.0,1,1,0,0.59935,0.40065,0.0,0.0,0,1,0.0,0.0,0.3336948360724118,,No,No,0,12.0,0,1,unknown,joint-stock corporation,Gibraltar,unknown,0,1,0,0,0,1,1,0,1,1,1,Finance,0x151202c9c18e495656f372281f493eb7698961d5,2017-12-07,2018-02-26,2018-02-26,0.0,20.863679885864258,20.863679885864258,20.863679885864258,-0.5461851954460144,,1,0,ETH,ETH,100.0,100.0,,,0.13018645346164703,0.13018645346164703,25.287355422973633,1,0,1,2.6581757068634033,1,,1,1,0,1,0,1,1,0,0,0,1,0,1,0.4006499946117401,52.07457733154297,0,0,1,0,0,0,1,0,1,0,1.0,82,82.0,0.33369484543800354,1,Finance,2018-03-13,15.0,debitumnetworkdbt,deb,0.0,20863680.0,0.0
DECENT,DECENT,DCT,1,0.0,,BTC,1,Utility-token,,38510759.7675,73290000.0,No,0,0.09486933333330962,0.2371733333333096,0.2371733333333096,0,0,,,,1,21.0,0,0,1,0,1,1.0,,1,1,0,0.12,0.5800000000000001,0.0,0.3,1,0,,,,,Foundation Capital,Digital Currency Group,0,26.0,1,1,neutral,foundation,Switzerland,"Avenue Industrielle 4, 1227 Carouge, Switzerland",0,0,0,0,0,0,0,0,0,0,0,Content Management,not applicable,2016-09-11,2016-11-06,2016-11-06,0.0,4.184767723083496,4.184767723083496,4.184767723083496,0.159336119890213,,0,0,BTC,BTC,,,,,0.10866490006446838,0.10866490006446838,60.0,0,0,0,54.1833381652832,0,,0,1,1,0,1,0,0,1,1,1,0,0,1,0.5254572033882141,7.964050769805908,0,0,1,0,0,0,1,1,0,0,0.0,57,57.0,,1,Content Management,2016-12-10,34.0,decent,dct,0.0,,0.0
Decentraland,Decentraland,MANA,1,0.0,25987660.759999998,ETH,1,Utility-token,,1057761336.86332,2644403342.1583,ERC-20,1,0.0241168,0.04009418,0.0241168,0,0,,,,1,15.0,1,1,2,1,0,1.0,1.0,1,1,0,0.6,0.4,0.0,0.0,1,0,,,0.5833333333333334,,No,Kenetic Capital,0,8.0,0,0,medium,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,0,1,1,0,0,0,Video Games & VR,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,2017-08-17,2017-08-26,2017-08-17,0.0,25.987659454345703,25.987659454345703,25.987659454345703,0.0,,1,0,ETH,ETH,100.0,100.0,,,0.024116799235343933,0.024116799235343933,39.84962463378906,0,0,0,38.7229118347168,1,,1,1,0,1,0,1,1,1,0,1,0,0,0,0.4000000059604645,64.96914672851562,0,0,1,0,0,0,1,0,1,0,1.0,1,10.0,0.5833333134651184,1,Video Games & VR,2017-09-17,31.0,decentraland,mana,0.0,25987660.759999998,0.0
DEEX (DEEX),DEEX,DEEX,1,,15000000.0,tokens,1,Security,,61559821.0,100000000.0,ERC-20,0,,0.2,0.2,0,1,13440179.0,0.08,0.1,1,25.0,1,1,0,0,1,,1.0,0,0,0,0.25,0.61559821,0.13440179,0.0,1,0,,,0.14,,No,No,1,8.0,1,1,neutral,unknown,Estonia,"Linnamae tee 25, Tallinn 13912 Estonia",0,0,0,0,0,0,1,0,0,0,0,Trading & Exchanges,0xc16cf13922c18de7842374f9baace4489f1d24af,2018-01-10,2018-02-28,2018-02-28,2.9166083335876465,9.939990043640137,12.856597900390625,12.856597900390625,-0.364664763212204,60.0,1,0,tokens,tokens,85.71065521240234,82.26158905029297,0.217006653547287,0.217006653547287,0.16146878898143768,0.16146878898143768,,0,0,0,14.289347648620605,1,0.0,1,0,1,0,0,1,1,0,0,0,0,0,1,0.615598201751709,16.146879196166992,0,1,0,0,0,0,0,0,0,0,,50,50.0,0.14000000059604645,1,Trading & Exchanges,,,deexdeex,deex,,15000000.0,0.0
Devery,Devery,EVE,1,0.0,10000000.0,USD,1,Utility-token,,32215169.0,100000000.0,ERC-20,0,0.177169650468866,0.177169650468866,0.177169650468866,0,1,28108230.0,0.1687330004465044,0.1687330004465044,1,11.0,0,0,0,0,0,1.0,1.0,0,0,0,0.4,0.3189177,0.2810823,0.0,1,0,,,0.46875,,No,No,0,5.0,0,0,high,unknown,Cayman Islands,unknown,0,0,0,0,0,1,1,1,0,0,0,Privacy & Security,0x923108a439c4e8c2315c4f6521e5ce95b44e9b4c,2017-12-14,2018-02-01,2018-01-19,4.7403740882873535,5.707550048828125,10.44792366027832,10.44792366027832,-0.3555888533592224,4.761904716491699,1,0,USD,USD,104.47924041748047,100.0,0.16873300075531006,0.16873300075531006,0.17716965079307556,0.17716965079307556,0.0,0,0,0,2.241427421569824,1,0.0,1,0,0,1,0,1,1,0,0,0,0,1,1,0.32215169072151184,17.716964721679688,0,0,1,0,0,0,1,0,0,0,,37,50.0,0.46875,1,Privacy & Security,2018-01-24,5.0,devery,eve,0.0,10000000.0,0.0
DigixDAO,DigixDAO,DGD,1,500000.0,5500000.0,USD,1,Security,,1700000.0,2000000.0,ERC-20,1,3.235294117647059,3.235294117647059,3.235294117647059,1,0,,,,0,22.0,1,1,0,0,1,,1.0,1,1,0,0.15,0.85,0.0,0.0,1,0,,,,,No,No,1,,0,0,unknown,joint-stock corporation,Singapore,"DigixGlobal Pte Ltd, 10 Anson Road #05-17, International Plaza, Singapore 079903",0,0,0,0,0,0,0,0,0,0,0,Finance,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,2016-03-30,2016-03-30,2016-03-30,0.0,5.5,5.5,5.5,0.0,,1,1,USD,USD,100.0,100.0,,,3.2352941036224365,3.2352941036224365,0.0,0,1,1,4.334883385581634e-07,0,,1,1,1,0,0,1,1,0,0,0,1,0,0,0.8500000238418579,6.470588207244873,0,1,0,0,0,0,0,0,1,0,1.0,1,1.0,,1,Finance,2016-04-18,19.0,digixdao,dgd,500000.0,5500000.0,0.0
DIMCOIN,DIMCOIN,DIM,1,0.0,360000000.0,tokens,1,Security,,3000000000.0,9000000000.0,No,0,0.0071428571428571,0.12,0.04,0,0,,,,1,71.0,1,0,5,0,1,,,0,1,0,0.6666666666666667,0.3333333333333333,0.0,0.0,0,1,0.0,0.0,,,No,No,1,20.0,1,1,high,joint-stock corporation,Singapore,22 North Canal road #02-00 Singapore 048834,0,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,not applicable,2017-07-01,2017-08-27,2017-08-28,0.0,14.005745887756348,14.005745887756348,14.005745887756348,0.5878939032554626,,1,0,tokens,tokens,3.8904850482940674,3.8904850482940674,,,0.004668582230806351,0.004668582230806351,94.04762268066406,0,0,0,96.10951232910156,0,,0,1,1,0,0,0,0,0,0,0,0,1,1,0.3333333432674408,42.017234802246094,0,1,0,0,0,0,1,0,1,0,1.0,59,58.0,,1,Trading & Exchanges,2017-12-27,121.0,dimcoin,dim,0.0,360000000.0,0.0
district0x,district0x,DNT,1,2000000.0,50000000.0,USD,1,Utility-token,,600000000.0,1000000000.0,ERC-20,0,0.0163159019424,0.0163159019424,0.0163159019424,1,0,,,,1,23.0,1,1,0,1,0,1.0,1.0,1,1,0,0.4,0.6,0.0,0.0,1,0,,,0.625,,No,BoostVC; Fintech Blockchain Group; CoinFund,1,3.0,0,0,medium,joint-stock corporation,United States,unknown,0,0,1,0,0,0,1,1,0,0,0,Marketplaces,0x0abdace70d3790235af448c88547603b945604ea,2017-07-18,2017-08-01,2017-08-01,0.0,9.789541244506836,9.789541244506836,9.789541244506836,0.15890765190124512,,1,1,USD,USD,19.579082489013672,19.579082489013672,,,0.016315901651978493,0.016315901651978493,0.0,0,0,0,1.7799904981075088e-06,1,,1,1,0,0,0,1,1,1,0,1,0,0,1,0.6000000238418579,16.315900802612305,0,0,1,0,0,0,1,0,1,0,1.0,15,15.0,0.625,1,Marketplaces,2017-08-03,2.0,district0x,dnt,2000000.0,50000000.0,0.0
Divi,Divi,DIVX,1,2331400.0,46628000.0,ETH,1,Cryptocurrency,,,6206858.0,ERC-20,1,0.7173538461538282,0.93256,0.93256,0,1,,,,0,21.0,0,0,0,0,1,,1.0,0,1,0,0.2,,,0.0,1,0,,,0.5681818181818182,,No,No,1,7.0,1,1,high,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,1,Payments,0x13f11c9905a08ca76e3e853be63d4f0944326c72,2017-10-27,2017-11-25,2017-11-25,1.1507790088653564,2.1491963863372803,3.2999753952026367,3.2999753952026367,0.41915997862815857,,1,1,ETH,ETH,7.077239990234375,4.725874900817871,,,,0.8249568939208984,23.076923370361328,0,0,0,,1,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,,,0,0,0,1,0,1,1,0,0,0,,30,30.0,0.5681818127632141,0,Payments,2017-11-27,2.0,divi,divx,2331400.0,46628000.0,0.0
DMarket,DMarket,DMT,1,10970000.0,74023333.33333175,tokens,0,New Blockchain,,12950320.0,56921773.1719715,ERC-20,0,0.6305333333333175,0.6305333333333175,0.6305333333333175,0,1,35948175.0,0.4299090909090866,0.6305333333333175,1,29.0,1,1,9,1,0,,1.0,0,1,0,0.1409527097431004,0.2275108324695828,0.6315364577873168,0.0,0,1,0.0,0.0,,,No,Pantera Capital,0,80.0,1,0,high,joint-stock corporation,Gibraltar,unknown,0,0,0,0,0,1,1,1,0,0,0,Video Games & VR,0x2ccbff3a042c68716ed2a2cb0c544a9f1d1935e1,2017-10-30,2017-11-28,2017-11-28,10.970000267028809,8.05667781829834,19.02667808532715,19.02667808532715,0.4951666593551636,31.81818199157715,1,0,tokens,tokens,25.703622817993164,12.77756118774414,0.3051615357398987,0.3051615357398987,0.6305333375930786,0.6305333375930786,0.0,0,0,0,38.289451599121094,0,0.0,1,1,0,1,0,1,1,1,0,1,0,1,1,0.22751083970069885,35.41228103637695,0,0,0,0,1,1,1,0,1,0,1.0,30,30.0,,1,Video Games & VR,2018-02-03,67.0,dmarket,dmt,10970000.0,74023333.33333175,0.0
doc.ai,doc.ai,Neuron,1,0.0,31820000.0,tokens,1,Utility-token,,82666667.0,860000000.0,ERC-20,0,0.09,0.1,0.1,0,1,30333333.0,0.075,0.075,1,17.0,0,0,1,0,0,1.0,0.0,0,1,0,0.63,0.2746721150219987,0.0953278849780013,0.0,0,1,1.0,2.0,2.0,,S2 Capital; F50; Comet Labs; Legend Star,Pantera Capital,0,5.0,1,1,unknown,joint-stock corporation,United States,"540 Bryant St Suite 200, Palo Alto, CA 94301",0,0,0,0,0,1,1,1,1,0,0,Drugs & Healthcare,unknown,2017-09-07,2017-10-12,2017-10-12,2.2750000953674316,7.724999904632568,10.0,10.0,0.16901825368404388,25.0,1,0,tokens,tokens,31.426774978637695,26.146556854248047,0.07500000298023224,0.07500000298023224,0.09344758093357086,0.09344758093357086,10.0,1,0,0,11.504425048828125,1,0.0,1,1,1,0,0,1,1,1,1,1,1,0,1,0.09612403064966202,80.36492156982422,0,0,1,0,0,0,1,0,1,0,1.0,36,36.0,2.0,1,Drugs & Healthcare,,,docai,neuron,0.0,31820000.0,0.0
Dock.io (DOCK),Dock,DOCK,1,0.0,20000000.0,USD,1,Utility-token,10500.0,95238095.23809524,1000000000.0,ERC-20,0,0.084,0.084,0.084,0,1,200000000.0,0.06,0.06,1,25.0,1,1,0,0,1,1.0,0.0,0,1,0,0.7,0.1,0.2,0.0,1,0,,,0.7142857142857143,0.1666666666666667,Liquid2; Passport Capital,No,1,12.0,1,1,high,joint-stock corporation,United States,unknown,0,0,0,0,0,1,1,0,0,0,1,Marketplaces,0xe5dada80aa6477e85d09747f2842f7993d0df71c,2018-02-21,2018-02-21,2018-02-21,12.0,8.0,20.0,20.0,0.0,28.571428298950195,1,0,USD,USD,100.0,100.0,0.05999999865889549,0.05999999865889549,0.08399999886751175,0.08399999886751175,0.0,1,0,0,19.354835510253906,1,1.0,1,1,0,0,0,1,1,1,1,0,0,1,1,0.095238097012043,84.0,0,0,1,0,0,0,1,0,1,0,1.0,1,1.0,0.7142857313156128,1,Marketplaces,2018-04-25,63.0,dockiodock,dock,0.0,20000000.0,0.0
DomRaider,DomRaider,DRT,1,41062000.0,41062000.0,EUR,1,New Blockchain,,272500000.0,1300000000.0,ERC-20,0,0.11732000000000001,0.11732000000000001,0.11732000000000001,0,1,287500000.0,0.09385600000000001,0.11732000000000001,1,127.0,0,0,5,0,1,,1.0,0,1,0,0.65,0.1288461538461538,0.2211538461538462,0.0,0,1,0.0,0.0,0.40125,,No,No,0,33.0,1,1,neutral,joint-stock corporation,France,"22 Allée Alan Turing, 63000 Clermont-Ferrand",0,0,0,0,0,1,0,0,1,1,0,Payments,0x9af4f26941677c706cfecf6d3379ff01bb85d5ab,2017-09-10,2017-10-11,2017-10-09,,30.9879207611084,30.9879207611084,,0.1462031900882721,20.0,1,1,EUR,EUR,,,,0.10558799654245377,0.1173200011253357,0.1173200011253357,0.0,0,0,0,52.833641052246094,1,0.0,1,1,1,0,0,1,1,0,0,0,0,0,1,0.20961537957191467,147.83229064941406,0,0,0,0,1,1,1,0,1,0,1.0,30,32.0,0.3843786120414734,0,Payments,2017-10-19,10.0,domraider,drt,41062000.0,41062000.0,0.0
Dovu,Dovu,DOV,1,0.0,27066582.959999997,ETH,1,Utility-token,,9621731.03,1200000000.0,ERC-20,0,0.09224145454545743,0.1014687708,0.1014687708,0,1,63750000.0,0.08455466666667724,0.08455466666667724,1,23.0,1,1,1,0,0,1.0,1.0,1,1,0,0.75,0.196875,0.053125,0.0,0,1,1.0,2.0,2.333333333333334,,No,No,0,7.0,1,0,high,joint-stock corporation,United Kingdom,"1st Floor College Green, College Green House 32-36, BS1 5SP, Bristol",0,0,0,0,0,1,0,0,1,1,1,Marketplaces,0xac3211a5025414af2866ff09c23fc18bc97e79b1,2017-10-03,2017-10-17,2017-10-17,,0.9372047781944275,0.9372047781944275,,0.2610781490802765,16.66927146911621,1,0,ETH,ETH,,,0.08455466479063034,0.08455466479063034,0.09740500152111053,0.09740500152111053,9.09375,0,0,0,87.4115219116211,1,0.0,1,1,1,0,0,1,1,0,0,0,0,1,1,0.008018109016120434,116.8860092163086,0,0,1,0,0,0,1,0,1,0,1.0,15,15.0,2.266021490097046,0,Marketplaces,2017-10-28,11.0,dovu,dov,0.0,27066582.959999997,0.0
DreamTeam,DreamTeam,DTT,1,2000000.0,6000000.0,USD,1,Utility-token,,,200000000.0,ERC-20,0,0.31311900000000004,0.34791000000000005,0.34791000000000005,0,1,,0.29572350000000003,0.29572350000000003,1,31.0,1,1,1,0,1,1.0,0.0,0,1,1,0.90066539375,,,0.0,1,0,,,0.6385893544087781,,Mangrove Capital Partners,Badwater Capital,0,12.0,1,1,high,joint-stock corporation,Cayman Islands,"DREAMTEAM  GROUP, 2454  Centennial  Towers,  Suite  205C,  West  Bay  Road,  West  Bay, Grand Cayman, KY1 1303, Cayman Islands",0,0,0,0,0,1,1,1,1,0,0,Video Games & VR,unknown,2017-12-11,2017-12-15,2017-12-14,,,,,-0.022257104516029358,15.0,1,1,USD,USD,,,0.29572349786758423,0.29572349786758423,,0.33051449060440063,10.0,0,0,0,,1,0.0,1,1,1,1,0,1,1,1,1,1,0,1,1,,,0,0,1,0,0,0,1,0,1,0,1.0,4,5.0,0.6385893821716309,0,Video Games & VR,,,dreamteam,dtt,2000000.0,6000000.0,0.0
Dynamic Trading Rights,Dynamic Trading Rights,DTR,1,0.0,15000000.0,USD,1,Utility-token,,730195500.0,3750000000.0,ERC-20,0,0.01,0.01,0.01,0,1,769804500.0,0.01,0.01,1,19.0,1,0,1,0,1,1.0,0.0,0,1,0,0.6,0.1947188,0.2052812,0.0,0,1,0.0,0.0,0.5,,No,No,0,6.0,1,1,low,joint-stock corporation,United Kingdom,"oken Holdings Limited, 3rd Floor 207 Regent Street, London, W1B 3HH",0,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,0xd234bf2410a0009df9c3c63b610c09738f18ccd7,2017-11-06,2017-12-06,2017-12-06,7.698044776916504,7.301955223083496,15.0,15.0,0.7105086445808411,0.0,1,0,USD,USD,100.0,100.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0,0,0,0,2.2351741790771484e-06,1,0.0,1,1,1,0,0,1,1,0,0,0,1,0,1,0.19471879303455353,37.500003814697266,0,0,1,0,0,0,1,0,1,0,1.0,31,31.0,0.42861413955688477,1,Trading & Exchanges,2017-12-20,14.0,dynamictradingrights,dtr,0.0,15000000.0,0.0
EBCoin,EBCoin,EBC,1,3634618.0,28992418.0,tokens,0,Utility-token,,133096433.0,1500000000.0,ERC-20,0,0.035000414078654646,0.042263,0.042263,0,1,150000000.0,0.02450028985509206,0.035000414078654646,1,34.0,0,0,0,0,1,1.0,1.0,0,1,0,0.5,0.4,0.1,0.0,1,0,,,0.5,,No,No,0,10.0,1,1,neutral,joint-stock corporation,Singapore,"EBC FOUNDATION PTE. LTD., 6 BATTERY ROAD #10-01 SINGAPORE 049909",0,0,0,0,0,1,0,0,1,1,0,Travel & Tourisim,0xec2e5c8d51fdd54fef83db8300399a3c2e167922,2018-01-16,2018-02-13,2018-02-13,3.634618043899536,4.900774955749512,8.535392761230469,8.535392761230469,-0.28995493054389954,42.02898406982422,1,0,tokens,tokens,29.440086364746094,19.326499938964844,0.02423078753054142,0.02423078753054142,0.036821234971284866,0.036821234971284866,17.18426513671875,0,0,0,28.660707473754883,1,0.0,1,1,1,0,0,1,1,0,0,0,0,0,1,0.08873095363378525,55.23185348510742,0,0,1,0,0,0,1,0,1,0,1.0,29,29.0,0.5,1,Travel & Tourisim,2018-08-03,171.0,ebcoin,ebc,3634618.0,28992418.0,0.0
Ecobit,Ecobit,ECOB,1,4929160.0,61614500.0,BTC,1,Security,,,8888888888.0,NEM,0,0.0739374,1.1090609999999999,1.1090609999999999,0,0,,,,0,16.0,0,0,0,0,0,,0.0,0,0,0,0.95,0.05,0.0,0.0,0,1,0.0,0.0,2.763157894736843,,No,No,0,10.0,0,0,high,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,Agriculture,not applicable,2017-05-09,2017-06-15,2017-06-15,0.0,,0.0,,0.3393474519252777,,1,1,BTC,BTC,,,,,,0.5914992094039917,93.33333587646484,0,1,1,,1,,1,0,0,0,0,0,1,0,0,0,0,1,1,,,0,1,0,0,0,0,0,0,0,0,,38,38.0,,1,Agriculture,2017-07-05,20.0,ecobit,ecob,4929160.0,61614500.0,0.0
Electrify.Asia (ELEC),Electrify.Asia,ELEC,1,0.0,30000000.0,USD,1,Utility-token,,125000000.0,750000000.0,ERC-20,0,0.0729234042552991,0.0729234042552991,0.0729234042552991,0,1,250000000.0,0.0729234042552991,0.0729234042552991,1,18.0,0,0,1,0,1,0.0,1.0,0,1,0,0.5,0.5,0.0,0.0,0,1,0.0,0.0,0.276,,Global Brain,No,0,,1,1,neutral,joint-stock corporation,Singapore," ELECTRIFY ASIA PRIVATE LIMITED, 3 TEMASEK AVENUE #18-01 CENTENNIAL TOWER SINGAPORE 039190",0,0,0,0,0,1,1,0,1,0,1,Marketplaces,0xd49ff13661451313ca1553fd6954bd1d9b6e02b9,2018-02-23,2018-02-26,2018-03-02,18.230852127075195,9.115426063537598,27.346277236938477,27.346277236938477,0.07346844673156738,0.0,1,0,USD,USD,91.15425872802734,77.45187377929688,0.07292340695858002,0.07292340695858002,0.07292340695858002,0.07292340695858002,0.0,0,0,0,-3.7070142298034625e-06,1,0.0,1,1,1,0,0,1,1,1,1,0,0,0,1,0.1666666716337204,54.69255447387695,0,0,1,0,0,0,0,0,1,0,1.0,8,4.0,0.16272123157978058,1,Marketplaces,2018-03-09,7.0,electrifyasiaelec,elec,0.0,30000000.0,0.0
Electroneum,Electroneum,ETN,1,0.0,40000000.0,USD,1,Utility-token,,6300000000.0,21000000000.0,No,0,0.0066225165562914,0.01,0.009009009009009,0,0,,,,0,26.0,0,0,3,0,1,1.0,,1,1,0,0.0333333333333333,0.3,0.0,0.6666666666666666,0,1,0.0,0.0,,,No,No,0,12.0,1,1,low,joint-stock corporation,United Kingdom,"Lyndean House, 30-34 Albion Place, Maidstone, Kent, England, ME14 5DZ",0,0,0,0,0,0,0,0,0,0,0,Blockchain Infrastructure,not applicable,2017-09-14,2017-10-31,2017-10-19,0.0,41.46500015258789,41.46500015258789,41.46500015258789,0.5929871201515198,,1,0,USD,USD,103.6624984741211,100.0,,,0.00658174604177475,0.00658174604177475,33.77483367919922,0,0,0,34.18254089355469,0,,0,1,1,0,0,0,0,0,0,0,1,0,1,0.30000001192092896,138.21665954589844,1,0,1,0,0,0,1,0,1,0,1.0,36,48.0,,1,Blockchain Infrastructure,2017-11-02,14.0,electroneum,etn,0.0,40000000.0,0.0
EncrypGen,EncrypGen,DNA,1,0.0,2318880.0,BTC,1,Utility-token,,51000000.0,71000000.0,No,0,0.029058646616536704,0.038648000000077294,0.038648000000077294,0,0,,,,0,11.0,1,0,16,1,1,1.0,,0,0,0,0.2,0.8,0.0,0.0,1,0,,,,,No,No,0,4.0,1,0,1,limited liability partnership,United States,"Encrypgen LLC, 9900 WEST SAMPLE RD. SUITE 300, CORAL SPRINGS, FL 33065",0,0,0,0,1,0,0,0,0,0,0,Drugs & Healthcare,not applicable,2017-06-01,2017-07-18,2017-07-18,0.0,,0.0,,-0.037662383168935776,,1,0,BTC,BTC,,,,,,0.03385332226753235,24.812030792236328,0,0,0,,0,,0,1,1,0,0,0,0,0,0,0,0,0,1,0.7183098793029785,,0,0,1,0,0,0,1,0,0,1,1.0,48,48.0,,1,Drugs & Healthcare,2017-11-20,125.0,encrypgen,dna,0.0,2318880.0,0.0
