iter	Logloss
0	0.6622944765
1	0.63883376
2	0.6117779573
3	0.5944626721
4	0.5765792663
5	0.5626545839
6	0.5514842573
7	0.5398071079
8	0.5315642102
9	0.5219005906
10	0.5133472646
11	0.505037554
12	0.4977985323
13	0.4913326401
14	0.4845820573
15	0.4800370917
16	0.4731769923
17	0.4668841731
18	0.4632613532
19	0.4593545779
20	0.4517929419
21	0.4489753447
22	0.4441833496
23	0.4402787017
24	0.4351472838
25	0.4305216121
26	0.4258491398
27	0.421441267
28	0.4171685959
29	0.4138096926
30	0.410426995
31	0.4074500604
32	0.40361887
33	0.4006314565
34	0.3974595718
35	0.3928712461
36	0.3914919934
37	0.3889546747
38	0.3875321669
39	0.385905123
40	0.3838505179
41	0.3815082806
42	0.3778767413
43	0.373895353
44	0.3719070093
45	0.3699211081
46	0.3674166182
47	0.3644669183
48	0.3618991346
49	0.3596185628
50	0.3582133886
51	0.3556542191
52	0.3529012815
53	0.3505890103
54	0.3491387162
55	0.3452103265
56	0.3429301224
57	0.3403734742
58	0.3394914584
59	0.3370610301
60	0.3331203231
61	0.3276468825
62	0.3251706778
63	0.3225901041
64	0.3204315763
65	0.3179311047
66	0.3156456742
67	0.3142435465
68	0.3130695652
69	0.3086478517
70	0.3073199957
71	0.3035370503
72	0.3018123344
73	0.2991617698
74	0.2968702727
75	0.2941447273
76	0.2910583286
77	0.2879888433
78	0.2861045798
79	0.2840961712
80	0.2827431552
81	0.2811901729
82	0.2785987
83	0.2767559583
84	0.2751525249
85	0.2726618493
86	0.2705786175
87	0.2689608444
88	0.2672808806
89	0.265663449
90	0.2640329909
91	0.2617260511
92	0.2607949761
93	0.2593408476
94	0.2573417624
95	0.2560239388
96	0.2543563974
97	0.2527425113
98	0.2509136889
99	0.249136736
100	0.2478625614
101	0.2463716123
102	0.2447788678
103	0.2432186895
104	0.2409830274
105	0.2392408991
106	0.2381971297
107	0.2369918955
108	0.2356579989
109	0.2337679576
110	0.2309468675
111	0.2278246986
112	0.2265296188
113	0.2250899349
114	0.2229942545
115	0.2202772708
116	0.2187555809
117	0.216642882
118	0.2149225915
119	0.2139434814
120	0.2126937183
121	0.2105229652
122	0.2087055279
123	0.2071423161
124	0.2055118449
125	0.2043657286
126	0.2025354881
127	0.2014464938
128	0.1996944644
129	0.1990166695
130	0.1976225782
131	0.196508621
132	0.1956456459
133	0.194154329
134	0.1932091508
135	0.1920585698
136	0.1910880347
137	0.189614117
138	0.1881097081
139	0.1869228711
140	0.1858415193
141	0.1845974422
142	0.1830606772
143	0.1814694561
144	0.1804859207
145	0.1787647635
146	0.1780987475
147	0.1772398957
148	0.1762127507
149	0.1749992699
150	0.1735765651
151	0.1722207258
152	0.1709934438
153	0.1697203592
154	0.1686754342
155	0.1683989507
156	0.1670945212
157	0.1661615684
158	0.1652661059
159	0.1643348996
160	0.1634838216
161	0.1630032354
162	0.1619811592
163	0.1607066038
164	0.1599125821
165	0.1583611625
166	0.1572717217
167	0.1558612292
168	0.1550170452
169	0.1538913747
170	0.1533559251
171	0.1528780965
172	0.1518128833
173	0.1511462633
174	0.150199181
175	0.1490014974
176	0.1477860206
177	0.1472526458
178	0.1461006335
179	0.1451959922
180	0.143834165
181	0.1429694696
182	0.1423714091
183	0.1413786161
184	0.1405615486
185	0.1398694798
186	0.1391973446
187	0.137903985
188	0.1375704583
189	0.1368057198
190	0.1360877557
191	0.1355127279
192	0.1348266208
193	0.1343883048
194	0.1335360713
195	0.1328821494
196	0.1323917146
197	0.1312621046
198	0.1303265386
199	0.1292385292
200	0.127928138
201	0.1274985282
202	0.1268742048
203	0.1261693853
204	0.1251607294
205	0.1245611194
206	0.1232277481
207	0.1228576109
208	0.1221145394
209	0.1215825828
210	0.1211229019
211	0.1203041142
212	0.1200333823
213	0.1193253325
214	0.1184096607
215	0.1179927491
216	0.1172712789
217	0.1166460362
218	0.1157264644
219	0.1147372957
220	0.1143608422
221	0.1136206596
222	0.1124599017
223	0.111871112
224	0.1112413127
225	0.1107405566
226	0.1104195836
227	0.1098034673
228	0.1095661025
229	0.1089680749
230	0.1077154622
231	0.1073898473
232	0.1070526504
233	0.1066586664
234	0.1063676791
235	0.1062491478
236	0.1059017083
237	0.1056465307
238	0.1053254986
239	0.1049497805
240	0.1040082922
241	0.1036679765
242	0.1028767781
243	0.1020548061
244	0.1015898857
245	0.1010624661
246	0.1008493748
247	0.1004334481
248	0.1000292018
249	0.09973709842
250	0.09912154679
251	0.09839764068
252	0.09809075124
253	0.09774960175
254	0.09723517571
255	0.09649271481
256	0.09580453292
257	0.09549512223
258	0.09502585537
259	0.09441518866
260	0.09408357919
261	0.09336705955
262	0.09313629991
263	0.0926562718
264	0.092416957
265	0.09198644773
266	0.09135358223
267	0.09069925988
268	0.09030842083
269	0.08999818943
270	0.08954538946
271	0.08923132366
272	0.08868185624
273	0.08836700256
274	0.08799376627
275	0.08779405604
276	0.08726401666
277	0.08698979179
278	0.08653799638
279	0.08598146422
280	0.08579648752
281	0.0857228133
282	0.08568437087
283	0.08533258487
284	0.08504732299
285	0.08481421282
286	0.08437120237
287	0.08390352443
288	0.08340658953
289	0.08298037426
290	0.08274371858
291	0.08268231574
292	0.08222803191
293	0.08162510621
294	0.08126988633
295	0.0810157789
296	0.08059782334
297	0.08027516298
298	0.08009950963
299	0.07967814644
300	0.07961264658
301	0.0792640187
302	0.07867763867
303	0.07848373912
304	0.07806105622
305	0.0776133841
306	0.07708264875
307	0.07702097015
308	0.07630838995
309	0.07603555046
310	0.0756858458
311	0.07520865409
312	0.07491146226
313	0.0748292854
314	0.07443269477
315	0.07360980351
316	0.07332982705
317	0.07303764488
318	0.07266474345
319	0.07211781697
320	0.07193376604
321	0.0716714186
322	0.071600003
323	0.07141652985
324	0.07118087874
325	0.07092709303
326	0.07079832566
327	0.07067785083
328	0.07038527471
329	0.06998049659
330	0.06978058282
331	0.06958885652
332	0.06913702172
333	0.06903267892
334	0.06881822202
335	0.06849161565
336	0.06846102585
337	0.06815363741
338	0.06796243638
339	0.06769959652
340	0.06759046729
341	0.06725130065
342	0.06701298384
343	0.0666913937
344	0.06657930331
345	0.0662482979
346	0.06593657607
347	0.0657020083
348	0.06533771456
349	0.06517022243
350	0.06491428973
351	0.06469965556
352	0.06449251946
353	0.06425849665
354	0.0642332645
355	0.0640987324
356	0.06401744849
357	0.06387955474
358	0.06373661192
359	0.06367354795
360	0.06352717782
361	0.06323640072
362	0.06285992752
363	0.06272955811
364	0.06269369601
365	0.06212243033
366	0.06181606614
367	0.06158587773
368	0.06130240173
